epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6234,3.84739,6.98693,5.61936,4.19923,0.8439,0.84548,0.84401,0.0001,0.00277,0,0,3e-05,0.00092,0,0,4.05664,5.2318,5.0556,4.15431,0,0,0,0.000271356,0.000271356,0.000271356
2,80.1561,3.82177,5.14743,5.48567,4.13032,0.82036,0.82768,0.8253,0.00022,0.02703,2e-05,0,7e-05,0.00805,0,0,4.046,4.92328,4.83167,4.08535,0,0,0,0.000548117,0.000548117,0.000548117
3,116.963,3.70067,4.78763,5.3262,3.9898,0.77923,0.79152,0.78598,8e-05,0.0097,0,0,5e-05,0.00647,0,0,4.03177,4.93556,5.84075,4.08153,0,0,0,0.000823961,0.000823961,0.000823961
4,153.761,3.5664,4.69188,5.116,3.73596,0.73658,0.74742,0.74143,0.00017,0.01341,2e-05,0,9e-05,0.00831,1e-05,0,3.73852,10.2134,6.12183,3.78129,0,0,0,0.000828877,0.000828877,0.000828877
5,190.549,3.3358,4.62654,4.85914,3.51136,0.69302,0.70368,0.6987,0.60506,0.00323,0.00016,3e-05,0.60342,0.00277,0.00014,2e-05,3.55816,4.92772,5.03703,3.54401,0,0,0,0.000827502,0.000827502,0.000827502
6,227.561,3.22227,4.60152,4.75976,3.37292,0.65255,0.66191,0.65849,0.40098,0.00564,8e-05,2e-05,0.40125,0.00703,9e-05,2e-05,nan,nan,nan,nan,0,0,0,0.000826128,0.000826128,0.000826128
7,263.937,3.12885,4.5283,4.66659,3.29146,0.61941,0.62615,0.62383,0.00042,0.04028,0.0001,2e-05,0.00032,0.03187,8e-05,2e-05,3.36997,4.94438,5.86512,3.36085,0,0,0,0.000824753,0.000824753,0.000824753
8,300.445,3.06744,4.49108,4.58854,3.18472,0.59575,0.59962,0.59835,0.80902,0.00092,0.0008,0.00017,0.6011,0.00277,0.00075,0.00016,3.20337,5.04978,4.33606,3.22273,0,0,0,0.000823379,0.000823379,0.000823379
9,337.16,2.97349,4.44923,4.50085,3.12171,0.57651,0.57819,0.57763,0.8058,0.00185,0.00034,7e-05,0.80266,0.00323,0.0002,4e-05,3.18753,4.70257,4.26188,3.17588,0,0,0,0.000822004,0.000822004,0.000822004
10,373.858,2.90829,4.41931,4.44217,3.10149,0.56271,0.56226,0.56216,0.60647,0.00554,0.00076,0.00016,0.80742,0.00462,0.00079,0.00012,3.09419,4.6945,4.1738,3.1036,0,0,0,0.00082063,0.00082063,0.00082063
11,410.408,2.88772,4.37585,4.34991,3.02212,0.55297,0.55071,0.55094,0.62294,0.00231,0.00101,0.00018,0.61062,0.00462,0.00093,0.00017,3.10479,4.69702,4.39171,3.10527,0,0,0,0.000819255,0.000819255,0.000819255
12,447.192,2.85695,4.3312,4.30512,2.96156,0.5453,0.54198,0.54247,0.60274,0.00277,0.00072,0.00016,0.61052,0.00231,0.00073,0.00015,nan,nan,nan,nan,0,0,0,0.000817881,0.000817881,0.000817881
13,483.631,2.7807,4.31917,4.23011,2.9024,0.53893,0.5352,0.53584,0.20222,0.01524,0.00063,0.00014,0.20234,0.01293,0.00046,9e-05,3.01997,4.57696,4.2513,2.99106,0,0,0,0.000816507,0.000816507,0.000816507
14,520.158,2.78539,4.26933,4.24256,2.88497,0.53545,0.53036,0.53115,0.80718,0.0037,0.00123,0.00027,0.80896,0.00416,0.00128,0.00027,3.01621,4.5455,4.08494,2.98537,0,0,0,0.000815132,0.000815132,0.000815132
15,556.799,2.7091,4.23594,4.18377,2.82101,0.5325,0.52621,0.52726,0.00122,0.11129,0.00103,0.00028,0.00092,0.08306,0.00085,0.00019,2.97913,4.49428,4.11582,2.97043,0,0,0,0.000813758,0.000813758,0.000813758
16,593.194,2.68627,4.2358,4.18416,2.8267,0.52984,0.52313,0.52427,0.40512,0.006,0.00113,0.0003,0.40437,0.006,0.00081,0.00019,2.98642,4.48682,4.27726,2.9705,0,0,0,0.000812383,0.000812383,0.000812383
17,629.647,2.63593,4.17214,4.17111,2.77881,0.52778,0.52056,0.52167,0.20153,0.02448,0.00045,0.00014,0.20144,0.0404,0.00034,8e-05,nan,nan,nan,nan,0,0,0,0.000811009,0.000811009,0.000811009
