epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,181.904,1.44542,2.23652,1.53263,1.61091,0.09468,0.11433,0.12343,0.52038,0.03813,0.02989,0.00848,0.45674,0.03062,0.02254,0.00793,2.73709,4.22291,5.10464,2.81038,0.10076,0,0,0.000274475,0.000274475,0.000274475
2,361.472,1.43129,2.26856,1.51132,1.61498,0.09964,0.12104,0.13149,0.25309,0.04005,0.02116,0.00589,0.24906,0.0363,0.01586,0.0054,2.7557,4.22986,5.20016,2.8006,0.10139,0,0,0.000549955,0.000549955,0.000549955
3,540.189,1.46322,2.28952,1.57752,1.63943,0.09855,0.11979,0.13021,0.03992,0.04004,0.01626,0.00504,0.03238,0.02829,0.01521,0.00533,2.82491,4.28845,5.05433,2.88098,0.09965,0,0,0.000823236,0.000823236,0.000823236
4,718.405,1.4464,2.3083,1.56861,1.6434,0.10009,0.12165,0.133,0.45532,0.03916,0.01715,0.00469,0.46386,0.02862,0.01656,0.00563,2.772,4.12697,5.08315,2.81619,0.10026,0,0,0.000823104,0.000823104,0.000823104
5,897.104,1.44684,2.28414,1.55925,1.62182,0.10207,0.12068,0.13216,0.05486,0.04384,0.02047,0.00632,0.13686,0.04468,0.02156,0.00661,2.76068,4.3119,5.04166,2.80601,0.10187,0,0,0.000819805,0.000819805,0.000819805
6,1075.29,1.47087,2.30792,1.59167,1.64217,0.10172,0.125,0.13527,0.04297,0.04183,0.02212,0.00714,0.04207,0.04046,0.02246,0.0076,2.75867,4.22122,5.12765,2.82195,0.10073,0,0,0.000816507,0.000816507,0.000816507
7,1253.74,1.47927,2.28148,1.56874,1.65894,0.10141,0.12518,0.13408,0.02718,0.0236,0.01359,0.00388,0.02663,0.02219,0.01158,0.00388,2.8005,4.29608,5.11312,2.84633,0.10212,0,0,0.000813208,0.000813208,0.000813208
8,1432.11,1.49514,2.3552,1.59678,1.66802,0.09986,0.12227,0.13222,0.48377,0.04482,0.02551,0.0072,0.45917,0.03773,0.02071,0.00633,2.73911,4.27679,4.99628,2.78642,0.1014,0,0,0.000809909,0.000809909,0.000809909
9,1610.43,1.48146,2.33175,1.62529,1.66041,0.10035,0.12308,0.13287,0.24248,0.03199,0.01579,0.0043,0.24132,0.03106,0.01461,0.0046,2.76326,4.28289,5.0107,2.83386,0.10227,0,0,0.000806611,0.000806611,0.000806611
10,1788.54,1.48199,2.35438,1.60583,1.66352,0.10331,0.12847,0.13989,0.0446,0.04098,0.0172,0.00436,0.03706,0.03035,0.01323,0.00402,2.75051,4.25385,4.99272,2.78878,0.10146,0,0,0.000803312,0.000803312,0.000803312
11,1966.52,1.49041,2.34656,1.58539,1.64143,0.09953,0.11988,0.12977,0.0422,0.04279,0.01701,0.00504,0.24832,0.03576,0.01776,0.00555,2.77496,4.31364,4.96474,2.84445,0.10207,0,0,0.000800013,0.000800013,0.000800013
12,2144.98,1.48138,2.29464,1.58068,1.65072,0.09978,0.1232,0.13183,0.24372,0.03767,0.0166,0.00487,0.23715,0.03066,0.01342,0.00409,2.73689,4.26847,5.13413,2.7847,0.10137,0,0,0.000796715,0.000796715,0.000796715
13,2323.22,1.50817,2.3412,1.61273,1.67169,0.10082,0.12362,0.13485,0.04539,0.03448,0.01458,0.00483,0.0456,0.0334,0.0155,0.00474,2.74401,4.19538,5.09392,2.78948,0.10127,0,0,0.000793416,0.000793416,0.000793416
14,2501.3,1.50233,2.31732,1.58731,1.65966,0.09977,0.12258,0.13322,0.05952,0.04048,0.02012,0.00656,0.0459,0.03345,0.01684,0.00597,2.72981,4.2605,5.09016,2.80403,0.10167,0,0,0.000790117,0.000790117,0.000790117
15,2679.59,1.4782,2.31167,1.58052,1.6436,0.10092,0.12512,0.13539,0.05824,0.04395,0.02603,0.00741,0.04471,0.03825,0.02128,0.00759,2.76097,4.17169,5.08548,2.81164,0.10099,0,0,0.000786818,0.000786818,0.000786818
16,2857.76,1.46373,2.30741,1.57376,1.65475,0.10188,0.12252,0.13369,0.24442,0.04189,0.02353,0.00729,0.24027,0.03817,0.02161,0.00777,2.76959,4.22698,5.06823,2.81093,0.10189,0,0,0.00078352,0.00078352,0.00078352
17,3036.07,1.49911,2.33605,1.60461,1.65476,0.09909,0.11865,0.12914,0.25919,0.04275,0.02298,0.00669,0.04793,0.04417,0.02303,0.00722,2.76043,4.17546,5.10397,2.86252,0.10143,0,0,0.000780221,0.000780221,0.000780221
18,3214.49,1.44184,2.24158,1.53865,1.62298,0.09941,0.12195,0.13155,0.03487,0.03667,0.01775,0.00471,0.04212,0.02315,0.01571,0.00496,2.73252,4.27745,5.15152,2.79502,0.10207,0,0,0.000776922,0.000776922,0.000776922
19,3393,1.50096,2.31634,1.59047,1.65523,0.09963,0.12089,0.13039,0.04509,0.04747,0.02212,0.00659,0.03195,0.0413,0.01806,0.00649,2.76437,4.20952,4.97244,2.835,0.1009,0,0,0.000773624,0.000773624,0.000773624
20,3571.32,1.46831,2.32313,1.56917,1.66064,0.09913,0.12125,0.13083,0.09199,0.06354,0.02506,0.00669,0.06768,0.04269,0.01924,0.00705,2.77718,4.22855,4.95135,2.8251,0.10127,0,0,0.000770325,0.000770325,0.000770325
21,3749.63,1.45825,2.30009,1.55682,1.64602,0.09802,0.11973,0.12813,0.32649,0.05759,0.03205,0.00938,0.3264,0.05624,0.0312,0.0105,2.73904,4.17537,5.06937,2.81106,0.09898,0,0,0.000767026,0.000767026,0.000767026
22,3928.06,1.46628,2.28652,1.58474,1.63255,0.1014,0.12534,0.13627,0.05449,0.04237,0.02062,0.00683,0.05484,0.04006,0.02248,0.00673,2.77938,4.25665,5.13383,2.83409,0.10142,0,0,0.000763728,0.000763728,0.000763728
23,4106.22,1.46804,2.32306,1.56916,1.66199,0.10227,0.12487,0.13565,0.47009,0.02649,0.01655,0.00471,0.46725,0.02321,0.01506,0.00442,2.77978,4.14563,5.22216,2.8138,0.09997,0,0,0.000760429,0.000760429,0.000760429
24,4284.56,1.49093,2.29206,1.56415,1.64045,0.09854,0.12137,0.13049,0.23859,0.04464,0.02297,0.00646,0.23274,0.03954,0.02343,0.00621,2.80148,4.17632,5.10888,2.81742,0.1017,0,0,0.00075713,0.00075713,0.00075713
25,4462.79,1.46356,2.27018,1.5627,1.63635,0.09946,0.12054,0.13081,0.24004,0.04406,0.01985,0.00558,0.04156,0.04433,0.0237,0.00536,2.78202,4.28845,5.05319,2.85046,0.10078,0,0,0.000753832,0.000753832,0.000753832
26,4641.06,1.47934,2.36328,1.55239,1.6224,0.10255,0.12445,0.13391,0.03885,0.03763,0.0185,0.00622,0.02813,0.03151,0.0178,0.00616,2.75026,4.23882,5.18715,2.81378,0.10022,0,0,0.000750533,0.000750533,0.000750533
27,4819.12,1.49072,2.31861,1.56899,1.64599,0.09762,0.11946,0.12943,0.26505,0.03685,0.01392,0.00449,0.2445,0.02476,0.01371,0.00449,2.76853,4.24339,5.26841,2.78198,0.10052,0,0,0.000747234,0.000747234,0.000747234
28,4997.33,1.47575,2.33424,1.58073,1.66353,0.09878,0.12391,0.13338,0.07891,0.05305,0.02032,0.00559,0.07088,0.04649,0.01636,0.00521,2.77629,4.22638,5.0825,2.79816,0.10066,0,0,0.000743936,0.000743936,0.000743936
29,5175.59,1.47548,2.29172,1.58501,1.64986,0.10087,0.12294,0.13291,0.03648,0.03249,0.02171,0.00721,0.12688,0.03898,0.02822,0.00824,2.77909,4.2236,5.14152,2.83791,0.10047,0,0,0.000740637,0.000740637,0.000740637
30,5353.81,1.47697,2.29133,1.58177,1.65081,0.10014,0.12479,0.13524,0.27757,0.03896,0.02378,0.00789,0.44672,0.02879,0.01751,0.00619,2.74215,4.18956,5.31409,2.81826,0.10166,0,0,0.000737338,0.000737338,0.000737338
31,5532.03,1.4725,2.3091,1.55651,1.62617,0.09878,0.12101,0.13126,0.0918,0.04687,0.02175,0.00644,0.09412,0.04642,0.01948,0.00553,2.76964,4.18133,5.12343,2.82168,0.10061,0,0,0.00073404,0.00073404,0.00073404
32,5710.28,1.50059,2.26604,1.55039,1.62546,0.09742,0.11971,0.1297,0.0285,0.03582,0.01717,0.00547,0.02124,0.0311,0.0158,0.00493,2.79318,4.25222,5.22167,2.82108,0.10214,0,0,0.000730741,0.000730741,0.000730741
33,5888.53,1.43602,2.27604,1.53628,1.63395,0.0997,0.11949,0.12975,0.23633,0.02968,0.02163,0.00793,0.23376,0.02827,0.02135,0.00728,2.73248,4.2281,5.15807,2.80282,0.10096,0,0,0.000727442,0.000727442,0.000727442
34,6066.77,1.43108,2.24836,1.49887,1.59876,0.09956,0.12166,0.13137,0.04291,0.04335,0.02415,0.00681,0.25622,0.0307,0.01821,0.00565,2.81654,4.29582,5.18311,2.8494,0.10239,0,0,0.000724144,0.000724144,0.000724144
35,6245.34,1.46869,2.30151,1.51292,1.61294,0.09896,0.12217,0.13143,0.12404,0.05026,0.02703,0.00796,0.12034,0.04679,0.02255,0.00849,2.81361,4.30912,5.05751,2.91071,0.10064,0,0,0.000720845,0.000720845,0.000720845
36,6423.71,1.42913,2.26552,1.52216,1.62202,0.10285,0.12726,0.13756,0.096,0.05,0.02693,0.00756,0.22957,0.04704,0.03312,0.00918,2.78839,4.31695,5.1503,2.84154,0.10096,0,0,0.000717546,0.000717546,0.000717546
37,6602.07,1.48399,2.28947,1.5318,1.63763,0.0986,0.12046,0.12985,0.25173,0.041,0.03025,0.01134,0.24738,0.03775,0.03036,0.00993,2.75555,4.31968,5.32732,2.80808,0.10118,0,0,0.000714248,0.000714248,0.000714248
38,6780.49,1.42148,2.24494,1.49766,1.60372,0.09555,0.11931,0.12853,0.25236,0.03863,0.02538,0.00726,0.24865,0.03628,0.02352,0.00748,2.75776,4.19864,5.21711,2.81152,0.10107,0,0,0.000710949,0.000710949,0.000710949
39,6958.7,1.43719,2.25934,1.51481,1.62269,0.0999,0.12159,0.13158,0.07377,0.03022,0.01789,0.00502,0.05336,0.02693,0.0159,0.00495,2.76582,4.24565,5.19429,2.8341,0.1004,0,0,0.00070765,0.00070765,0.00070765
40,7136.96,1.44271,2.23176,1.55318,1.63167,0.10092,0.12489,0.1348,0.45248,0.0316,0.01992,0.00545,0.45406,0.02554,0.01686,0.00522,2.8369,4.29918,5.17449,2.92056,0.10149,0,0,0.000704351,0.000704351,0.000704351
41,7315.3,1.47546,2.28229,1.53611,1.62669,0.09979,0.12267,0.13309,0.29965,0.05782,0.02212,0.00675,0.28966,0.05106,0.02035,0.00663,2.79593,4.31385,5.18992,2.84912,0.10116,0,0,0.000701053,0.000701053,0.000701053
42,7493.35,1.4721,2.31342,1.53339,1.64429,0.09794,0.11984,0.12973,0.04313,0.0392,0.02923,0.0087,0.03689,0.03493,0.0271,0.00872,2.75245,4.1654,5.07412,2.79981,0.10033,0,0,0.000697754,0.000697754,0.000697754
43,7671.56,1.45092,2.26233,1.50314,1.61076,0.0982,0.11729,0.12719,0.0581,0.03205,0.01424,0.00454,0.03708,0.02034,0.01204,0.00436,2.77135,4.28641,5.23443,2.84789,0.10051,0,0,0.000694455,0.000694455,0.000694455
