epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,179.077,3.85895,7.06031,5.85422,4.20297,0.57821,0.85566,0.83886,0.00011,0.01095,1e-05,0,0.00015,0.01295,1e-05,0,3.8101,5.01552,5.04713,4.14451,nan,0,0,0.000274475,0.000274475,0.000274475
2,350.305,3.74171,5.31304,5.44104,4.13859,0.54612,0.82962,0.81576,0.00025,0.01975,4e-05,1e-05,0.00021,0.01522,2e-05,0,3.80642,7.6544,5.19636,4.1922,nan,0,0,0.000549955,0.000549955,0.000549955
3,521.517,3.76869,4.76132,5.36387,3.99249,0.50159,0.78923,0.77678,0.00016,0.01116,1e-05,0,0.00013,0.0091,1e-05,0,3.81631,6.16999,14.5464,3.8751,nan,0,0,0.000823236,0.000823236,0.000823236
4,691.242,3.60141,4.62603,5.18932,3.7736,0.44677,0.7456,0.73477,0.00035,0.03123,4e-05,1e-05,0.00025,0.02209,2e-05,0,3.58863,7.13085,6.82029,3.71856,nan,0,0,0.000823104,0.000823104,0.000823104
5,862.173,3.36373,4.59019,4.94872,3.56852,0.40944,0.70224,0.69121,0.00065,0.12882,0.0002,5e-05,0.00042,0.08667,9e-05,1e-05,3.26107,4.62821,4.57865,3.48364,nan,0,0,0.000819805,0.000819805,0.000819805
6,1032.49,3.1638,4.42655,4.79426,3.36219,0.38698,0.65826,0.64787,0.00066,0.04674,0.00024,5e-05,0.00046,0.03444,0.00016,3e-05,3.12621,4.87224,4.20789,3.3208,nan,0,0,0.000816507,0.000816507,0.000816507
7,1203.57,3.02046,4.41884,4.66665,3.24713,0.36756,0.61961,0.61065,0.001,0.04938,0.00031,6e-05,0.00062,0.03237,0.00014,3e-05,nan,nan,nan,nan,nan,0,0,0.000813208,0.000813208,0.000813208
8,1374.11,3.00366,4.3552,4.61353,3.17092,0.35063,0.58967,0.58211,0.00127,0.0562,0.00039,8e-05,0.00151,0.01116,0.00036,6e-05,2.99048,4.3571,4.17832,3.16008,nan,0,0,0.000809909,0.000809909,0.000809909
9,1544.64,2.94027,4.28201,4.52086,3.05908,0.33392,0.56858,0.56335,0.76375,0.00316,0.00158,0.0004,0.78025,0.00356,0.00239,0.00039,2.97125,4.30275,4.10521,3.06956,nan,0,0,0.000806611,0.000806611,0.000806611
10,1715.16,2.8744,4.31827,4.45885,3.02373,0.32696,0.55485,0.55153,0.00104,0.06797,0.00034,8e-05,0.00075,0.0542,0.00027,5e-05,2.87798,4.28348,5.32977,3.04164,nan,0,0,0.000803312,0.000803312,0.000803312
11,1885.29,2.85063,4.23957,4.40639,2.97682,0.32282,0.54421,0.54209,0.88236,0.0049,0.0016,0.00063,0.88342,0.00546,0.00163,0.00039,2.85965,4.20785,4.05948,2.97937,nan,0,0,0.000800013,0.000800013,0.000800013
12,2055.78,2.80667,4.24733,4.40507,2.96336,0.32241,0.53648,0.53536,0.8847,0.00522,0.00187,0.00044,0.88833,0.00482,0.00242,0.00048,2.75212,4.12475,3.95825,2.92652,nan,0,0,0.000796715,0.000796715,0.000796715
13,2225.58,2.77251,4.15713,4.29541,2.9026,0.31892,0.53026,0.52995,0.63283,0.00601,0.00188,0.00045,0.63362,0.00648,0.00148,0.00031,nan,nan,nan,nan,nan,0,0,0.000793416,0.000793416,0.000793416
14,2395.58,2.73533,4.06777,4.23829,2.85244,0.3134,0.52573,0.52573,0.76126,0.0053,0.00287,0.00065,0.77094,0.00657,0.0026,0.00061,2.72122,4.07577,3.87988,2.83876,nan,0,0,0.000790117,0.000790117,0.000790117
15,2566.21,2.75183,4.09311,4.18726,2.85114,0.31624,0.52289,0.52357,0.00507,0.10233,0.00356,0.00091,0.31598,0.00823,0.00396,0.00099,nan,nan,nan,nan,nan,0,0,0.000786818,0.000786818,0.000786818
16,2736.73,2.69496,4.03095,4.23547,2.79633,0.30948,0.52024,0.52098,0.76359,0.00633,0.00443,0.00111,0.89027,0.00593,0.00386,0.00106,nan,nan,nan,nan,nan,0,0,0.00078352,0.00078352,0.00078352
17,2907.14,2.67334,4.01655,4.10091,2.77054,0.31191,0.51808,0.51877,0.75867,0.00561,0.00249,0.00065,0.76026,0.0064,0.00251,0.00062,nan,nan,nan,nan,nan,0,0,0.000780221,0.000780221,0.000780221
18,3076.92,2.61074,4.03576,4.15782,2.747,0.30947,0.51624,0.51724,0.63517,0.00809,0.00301,0.00079,0.63601,0.00799,0.00277,0.00073,nan,nan,nan,nan,nan,0,0,0.000776922,0.000776922,0.000776922
19,3246.84,2.64667,4.0135,4.113,2.73271,0.3076,0.51493,0.51617,0.63462,0.01059,0.00399,0.00106,0.63821,0.0083,0.00367,0.00101,nan,nan,nan,nan,nan,0,0,0.000773624,0.000773624,0.000773624
20,3416.69,2.58388,3.93301,4.06264,2.70965,0.30223,0.51388,0.51532,0.76088,0.01044,0.0046,0.00129,0.76232,0.01059,0.00434,0.00107,nan,nan,nan,nan,nan,0,0,0.000770325,0.000770325,0.000770325
21,3587.23,2.59022,3.93964,4.01191,2.67499,0.29485,0.51269,0.51416,0.51178,0.01321,0.00541,0.0015,0.5341,0.01342,0.00583,0.00158,nan,nan,nan,nan,nan,0,0,0.000767026,0.000767026,0.000767026
22,3757.46,2.55248,3.96029,4.02027,2.65934,0.29043,0.51214,0.5134,0.65378,0.01123,0.00442,0.00122,0.78206,0.011,0.00435,0.00114,nan,nan,nan,nan,nan,0,0,0.000763728,0.000763728,0.000763728
