epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,184.491,3.85612,7.07449,5.86342,4.20313,0.57855,0.85608,0.83918,0.00012,0.01126,1e-05,0,0.00015,0.0122,1e-05,0,3.81193,5.00388,5.04575,4.14751,nan,0,0,0.000274475,0.000274475,0.000274475
2,360.436,3.74378,5.42054,5.4529,4.13919,0.54868,0.83144,0.81723,0.00024,0.02251,3e-05,1e-05,0.0002,0.01875,2e-05,0,3.80744,6.67128,5.08783,4.11467,nan,0,0,0.000551231,0.000551231,0.000551231
3,536.545,3.78648,4.83761,5.40051,4.01069,0.50264,0.79239,0.77964,0.00021,0.01478,2e-05,0,0.00023,0.04497,2e-05,0,nan,nan,nan,nan,nan,0,0,0.00082707,0.00082707,0.00082707
4,712.079,3.6076,4.66135,5.19786,3.79522,0.45318,0.75214,0.73896,0.00013,0.01068,1e-05,0,0.00012,0.00835,1e-05,0,3.63422,5.24794,5.34281,3.95451,nan,0,0,0.000828877,0.000828877,0.000828877
5,886.774,3.38347,4.6126,4.95745,3.58275,0.41655,0.70879,0.69725,0.00038,0.06573,9e-05,2e-05,0.00024,0.02116,6e-05,1e-05,3.34847,4.80778,4.21594,3.46801,nan,0,0,0.000827502,0.000827502,0.000827502
6,1061.72,3.20076,4.45504,4.86927,3.41509,0.39266,0.6652,0.65503,0.00031,0.05096,4e-05,1e-05,0.00024,0.04673,3e-05,0,3.28913,5.04962,4.42591,3.42196,nan,0,0,0.000826128,0.000826128,0.000826128
7,1236.17,3.05907,4.40242,4.71743,3.29175,0.37358,0.62393,0.6151,0.00093,0.13201,0.00061,0.0002,0.00051,0.05714,0.00048,0.0001,3.06916,4.3649,4.13354,3.25067,nan,0,0,0.000824753,0.000824753,0.000824753
8,1411.98,3.03876,4.32263,4.64273,3.18179,0.35839,0.59164,0.58437,0.62576,0.02736,0.00062,0.00012,0.87751,0.0064,0.00072,0.00013,3.00825,4.51817,4.24581,3.10749,nan,0,0,0.000823379,0.000823379,0.000823379
9,1586.51,2.99049,4.27438,4.54472,3.10093,0.33919,0.56915,0.56412,0.64865,0.00515,0.00112,0.00025,0.63283,0.00419,0.00123,0.00026,2.96357,4.36834,4.14583,3.06053,nan,0,0,0.000822004,0.000822004,0.000822004
10,1761.47,2.92256,4.28608,4.50125,3.05806,0.32928,0.55425,0.55104,0.62776,0.00696,0.00072,0.00015,0.62788,0.00601,0.00082,0.00014,2.90635,4.27311,4.07261,3.00223,nan,0,0,0.00082063,0.00082063,0.00082063
11,1936,2.89093,4.23983,4.4572,3.01621,0.32443,0.54346,0.54129,0.62931,0.00435,0.00065,0.00014,0.63193,0.00364,0.00082,0.00017,2.88129,4.32289,4.19962,2.99519,nan,0,0,0.000819255,0.000819255,0.000819255
12,2110.56,2.85828,4.23933,4.46146,3.00629,0.32198,0.53567,0.53468,0.88868,0.00411,0.00156,0.00037,0.8913,0.00466,0.00224,0.00049,2.85572,4.17862,4.07714,2.96112,nan,0,0,0.000817881,0.000817881,0.000817881
13,2285.41,2.83819,4.16602,4.36168,2.95119,0.31783,0.52984,0.52942,0.25606,0.00585,0.00141,0.00035,0.25962,0.00482,0.00125,0.00031,nan,nan,nan,nan,nan,0,0,0.000816507,0.000816507,0.000816507
14,2459.75,2.78792,4.08232,4.30168,2.90558,0.31422,0.52553,0.52543,0.13003,0.04638,0.00122,0.00027,0.38708,0.00404,0.00129,0.00026,2.76407,4.11754,4.05141,2.94837,nan,0,0,0.000815132,0.000815132,0.000815132
15,2634.22,2.78984,4.07157,4.26871,2.91225,0.31833,0.52269,0.52319,0.01253,0.12217,0.01789,0.00215,0.6399,0.00569,0.00299,0.00071,2.74873,4.06136,3.92827,2.87162,nan,0,0,0.000813758,0.000813758,0.000813758
16,2809.29,2.74983,4.02607,4.31315,2.85312,0.31173,0.52026,0.52092,0.00137,0.07654,0.00068,0.00017,0.00578,0.06911,0.00064,0.00015,nan,nan,nan,nan,nan,0,0,0.000812383,0.000812383,0.000812383
17,2984.01,2.72582,4.04749,4.17902,2.84105,0.31382,0.5185,0.51918,0.00702,0.00775,0.00144,0.00037,0.00557,0.00783,0.00141,0.00036,nan,nan,nan,nan,nan,0,0,0.000811009,0.000811009,0.000811009
18,3158.56,2.66549,4.09736,4.2423,2.81478,0.31178,0.51654,0.51748,0.26549,0.01004,0.00208,0.00049,0.26038,0.00664,0.00193,0.00046,nan,nan,nan,nan,nan,0,0,0.000809634,0.000809634,0.000809634
19,3333.18,2.6822,4.03394,4.2007,2.8007,0.31019,0.51523,0.51638,0.51585,0.00719,0.00383,0.00102,0.51866,0.00712,0.00377,0.00094,nan,nan,nan,nan,nan,0,0,0.00080826,0.00080826,0.00080826
20,3507.63,2.63459,3.9464,4.12402,2.77955,0.30702,0.51394,0.51527,0.63467,0.0087,0.00277,0.00075,0.63844,0.00712,0.00235,0.00057,nan,nan,nan,nan,nan,0,0,0.000806885,0.000806885,0.000806885
21,3682.03,2.63447,3.94731,4.08671,2.73412,0.30305,0.51225,0.51374,0.51101,0.00846,0.00376,0.00104,0.51126,0.00909,0.00483,0.0014,nan,nan,nan,nan,nan,0,0,0.000805511,0.000805511,0.000805511
22,3856.62,2.60618,3.96164,4.09041,2.70592,0.29425,0.51141,0.51279,0.64039,0.01146,0.00453,0.00116,0.63932,0.01052,0.00411,0.00101,nan,nan,nan,nan,nan,0,0,0.000804137,0.000804137,0.000804137
23,4031.22,2.59618,3.91939,4.03605,2.72934,0.28981,0.51084,0.51221,0.13485,0.00878,0.00351,0.00098,0.13432,0.0083,0.00368,0.00094,nan,nan,nan,nan,nan,0,0,0.000802762,0.000802762,0.000802762
24,4205.96,2.6046,3.92526,3.98876,2.68095,0.28253,0.51008,0.51119,0.0197,0.01361,0.00555,0.00147,0.02013,0.01408,0.00537,0.00146,nan,nan,nan,nan,nan,0,0,0.000801388,0.000801388,0.000801388
25,4380.91,2.53798,3.88913,4.00216,2.66931,0.27845,0.50883,0.50972,0.05974,0.01489,0.00827,0.00265,0.01589,0.01352,0.00777,0.00235,nan,nan,nan,nan,nan,0,0,0.000800013,0.000800013,0.000800013
26,4556.14,2.56076,3.89057,3.97758,2.6506,0.28227,0.50882,0.50987,0.39133,0.01819,0.00787,0.00226,0.39683,0.01979,0.00803,0.00246,2.51874,3.81904,3.69394,2.65161,nan,0,0,0.000798639,0.000798639,0.000798639
27,4731.11,2.5611,3.88683,3.90043,2.63129,0.27789,0.50789,0.50907,0.646,0.01979,0.0084,0.0024,0.64616,0.01868,0.00826,0.00233,2.50477,3.78601,3.6659,2.62999,nan,0,0,0.000797264,0.000797264,0.000797264
28,4905.6,2.49618,3.80561,3.91412,2.6202,0.27717,0.50759,0.50893,0.65698,0.01844,0.00927,0.00287,0.65193,0.01737,0.0096,0.00255,nan,nan,nan,nan,nan,0,0,0.00079589,0.00079589,0.00079589
29,5080.5,2.47673,3.8418,3.90398,2.61793,0.27874,0.50696,0.5083,0.01659,0.21579,0.0185,0.00558,0.43997,0.0213,0.01857,0.00477,nan,nan,nan,nan,nan,0,0,0.000794515,0.000794515,0.000794515
30,5255.43,2.49116,3.86642,3.87696,2.62197,0.27815,0.50643,0.50777,0.53181,0.02289,0.01147,0.00343,0.52104,0.01978,0.01238,0.00348,nan,nan,nan,nan,nan,0,0,0.000793141,0.000793141,0.000793141
31,5429.87,2.45583,3.82668,3.86046,2.59161,0.27886,0.50608,0.50779,0.52082,0.02484,0.01125,0.00336,0.52045,0.02151,0.01091,0.00317,nan,nan,nan,nan,nan,0,0,0.000791767,0.000791767,0.000791767
32,5604.4,2.43369,3.79505,3.79451,2.55395,0.27669,0.50538,0.50634,0.44808,0.02187,0.01112,0.00318,0.43859,0.02108,0.0109,0.00284,nan,nan,nan,nan,nan,0,0,0.000790392,0.000790392,0.000790392
33,5778.78,2.39816,3.78372,3.77936,2.56148,0.27769,0.50506,0.50659,0.78941,0.02215,0.0141,0.00432,0.79041,0.02112,0.01284,0.00414,nan,nan,nan,nan,nan,0,0,0.000789018,0.000789018,0.000789018
34,5953.32,2.41447,3.74627,3.74179,2.53282,0.27676,0.504,0.50514,0.6534,0.02175,0.08113,0.01874,0.65279,0.02017,0.04768,0.01406,nan,nan,nan,nan,nan,0,0,0.000787643,0.000787643,0.000787643
35,6128.43,2.41945,3.76113,3.67552,2.5076,0.27908,0.50364,0.50544,0.68124,0.03131,0.0669,0.02789,0.67435,0.02929,0.03304,0.00954,nan,nan,nan,nan,nan,0,0,0.000786269,0.000786269,0.000786269
36,6303.31,2.36411,3.73375,3.71981,2.5213,0.2766,0.50289,0.50437,0.53712,0.03164,0.01628,0.00506,0.54678,0.0307,0.01508,0.00487,nan,nan,nan,nan,nan,0,0,0.000784894,0.000784894,0.000784894
37,6477.85,2.38344,3.69644,3.65912,2.49581,0.27454,0.50279,0.50425,0.65986,0.03701,0.1003,0.03597,0.65906,0.03617,0.0462,0.01432,nan,nan,nan,nan,nan,0,0,0.00078352,0.00078352,0.00078352
38,6653,2.39241,3.68285,3.60636,2.511,0.27722,0.50172,0.50284,0.66996,0.03613,0.01989,0.00669,0.66682,0.03417,0.02246,0.00634,nan,nan,nan,nan,nan,0,0,0.000782145,0.000782145,0.000782145
39,6827.66,2.39572,3.65703,3.63788,2.48571,0.27736,0.50154,0.50269,0.53663,0.02985,0.02011,0.00634,0.54277,0.02804,0.01853,0.00568,nan,nan,nan,nan,nan,0,0,0.000780771,0.000780771,0.000780771
40,7002.19,2.34739,3.69668,3.62479,2.47497,0.27491,0.50121,0.50277,0.55481,0.04282,0.04111,0.01689,0.54779,0.03899,0.03842,0.00842,nan,nan,nan,nan,nan,0,0,0.000779396,0.000779396,0.000779396
41,7176.91,2.3149,3.7046,3.58243,2.4569,0.27488,0.50006,0.5009,0.545,0.04725,0.0695,0.02651,0.54739,0.03622,0.03132,0.01077,nan,nan,nan,nan,nan,0,0,0.000778022,0.000778022,0.000778022
42,7351.25,2.32276,3.67754,3.59319,2.44745,0.27367,0.49917,0.50105,0.54207,0.03969,0.10507,0.04771,0.54373,0.04067,0.10343,0.02005,nan,nan,nan,nan,nan,0,0,0.000776648,0.000776648,0.000776648
43,7526.2,2.33219,3.6403,3.56868,2.46697,0.27499,0.49834,0.50032,0.58121,0.04518,0.05269,0.01969,0.57508,0.04191,0.03839,0.01359,nan,nan,nan,nan,nan,0,0,0.000775273,0.000775273,0.000775273
44,7700.74,2.31977,3.61978,3.5806,2.45005,0.27304,0.49612,0.49875,0.56154,0.05552,0.05879,0.0237,0.5508,0.03952,0.03681,0.01234,nan,nan,nan,nan,nan,0,0,0.000773899,0.000773899,0.000773899
45,7875.04,2.28066,3.65495,3.63105,2.45199,0.26898,0.4953,0.49757,0.67388,0.04176,0.02544,0.00955,0.66368,0.03682,0.02385,0.0082,nan,nan,nan,nan,nan,0,0,0.000772524,0.000772524,0.000772524
46,8049.82,2.28683,3.62473,3.51915,2.45208,0.26742,0.49295,0.49632,0.5603,0.0543,0.03122,0.01086,0.55452,0.05043,0.02504,0.00814,nan,nan,nan,nan,nan,0,0,0.00077115,0.00077115,0.00077115
47,8224.56,2.29228,3.6014,3.45864,2.38529,0.26682,0.4893,0.49446,0.68892,0.04852,0.06498,0.02822,0.68773,0.04619,0.06128,0.01698,nan,nan,nan,nan,nan,0,0,0.000769775,0.000769775,0.000769775
48,8399.04,2.27807,3.64697,3.47145,2.40925,0.25906,0.48049,0.49049,0.57602,0.06106,0.06771,0.03142,0.57473,0.0591,0.05772,0.01671,nan,nan,nan,nan,nan,0,0,0.000768401,0.000768401,0.000768401
49,8573.6,2.24367,3.58919,3.41372,2.41058,0.26553,0.46355,0.48574,0.58241,0.0621,0.0492,0.01906,0.57585,0.05839,0.04432,0.01362,nan,nan,nan,nan,nan,0,0,0.000767026,0.000767026,0.000767026
