epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,168.075,3.869,6.97626,5.63505,4.19574,0.409,0.86061,0.84634,6e-05,0.00952,1e-05,0,6e-05,0.01548,1e-05,0,3.81239,5.00592,4.84466,4.13312,nan,0,0,0.000274475,0.000274475,0.000274475
2,329.359,3.76069,5.3151,5.4059,4.1272,0.37681,0.83877,0.82458,6e-05,0.00633,2e-05,1e-05,0.00017,0.00796,3e-05,1e-05,3.80909,5.37296,5.4134,4.07461,nan,0,0,0.000551231,0.000551231,0.000551231
3,489.846,3.76227,4.72487,5.313,3.9668,0.33025,0.80048,0.78283,0.62542,0.00167,4e-05,1e-05,0.00025,0.0532,4e-05,1e-05,3.74601,6.93504,21.1729,4.11839,nan,0,0,0.00082707,0.00082707,0.00082707
4,650.384,3.53449,4.58996,5.11505,3.7248,0.27629,0.75454,0.73765,0.00031,0.02401,3e-05,1e-05,0.00029,0.05221,3e-05,1e-05,3.57867,4.92711,4.39911,3.7307,nan,0,0,0.000828877,0.000828877,0.000828877
5,810.713,3.29305,4.55893,4.89577,3.52731,0.24918,0.70782,0.69387,0.00056,0.06107,0.0001,2e-05,0.00032,0.01996,4e-05,1e-05,3.25426,4.76464,4.54639,3.41615,nan,0,0,0.000827502,0.000827502,0.000827502
6,971.037,3.12912,4.41592,4.79644,3.35692,0.23489,0.667,0.65506,0.00046,0.04354,0.00014,2e-05,0.00035,0.0597,6e-05,1e-05,3.13792,4.56863,4.82253,3.28838,nan,0,0,0.000826128,0.000826128,0.000826128
7,1131.11,2.98835,4.42125,4.6473,3.23411,0.22447,0.63016,0.62053,0.50172,0.00704,0.0005,9e-05,0.75468,0.00261,0.00034,5e-05,nan,nan,nan,nan,nan,0,0,0.000824753,0.000824753,0.000824753
8,1291.52,2.98798,4.35567,4.60979,3.16342,0.20771,0.60013,0.59261,0.75424,0.00308,0.00048,0.0001,0.75438,0.00261,0.0003,5e-05,2.99532,4.35159,4.08989,3.12893,nan,0,0,0.000823379,0.000823379,0.000823379
9,1451.49,2.91318,4.29982,4.49998,3.05949,0.19985,0.57642,0.57094,0.88467,0.00561,0.00255,0.00066,0.88809,0.00435,0.00227,0.00056,2.91023,4.29402,4.07298,3.08889,nan,0,0,0.000822004,0.000822004,0.000822004
10,1611.35,2.87039,4.31218,4.47406,3.03624,0.19639,0.56027,0.55657,0.62812,0.00253,0.00045,0.0001,0.62799,0.00229,0.00037,7e-05,nan,nan,nan,nan,nan,0,0,0.00082063,0.00082063,0.00082063
11,1771.2,2.82701,4.25053,4.41674,2.98605,0.19318,0.54933,0.547,0.00203,0.09584,0.00085,0.00016,0.628,0.00451,0.00046,0.0001,2.84213,4.35361,5.25142,2.99391,nan,0,0,0.000819255,0.000819255,0.000819255
12,1930.74,2.80223,4.26926,4.41515,2.97653,0.19515,0.54052,0.53922,0.75828,0.0053,0.00174,0.00041,0.76051,0.00561,0.00171,0.00043,2.78357,4.25511,4.0999,2.97324,nan,0,0,0.000817881,0.000817881,0.000817881
13,2090.29,2.78615,4.17439,4.31611,2.91347,0.19283,0.53318,0.53277,0.7591,0.00522,0.00231,0.00061,0.88408,0.00372,0.0021,0.00042,nan,nan,nan,nan,nan,0,0,0.000816507,0.000816507,0.000816507
14,2249.63,2.73956,4.11308,4.24988,2.86418,0.18931,0.52816,0.52815,0.00321,0.14362,0.00427,0.0014,0.76543,0.00459,0.0033,0.00096,2.76469,4.10365,3.88642,2.88282,nan,0,0,0.000815132,0.000815132,0.000815132
15,2409.75,2.74381,4.11026,4.23486,2.87366,0.19258,0.52521,0.5258,0.76082,0.00526,0.00374,0.00109,0.75887,0.0068,0.00251,0.00057,nan,nan,nan,nan,nan,0,0,0.000813758,0.000813758,0.000813758
16,2569.15,2.7,4.06698,4.28523,2.8142,0.18563,0.52176,0.52254,0.88819,0.0068,0.00349,0.00084,0.88904,0.00696,0.00405,0.00094,2.71787,4.05849,3.89961,2.84288,nan,0,0,0.000812383,0.000812383,0.000812383
17,2728.74,2.69392,4.06333,4.13103,2.791,0.18703,0.51972,0.5206,0.8874,0.00751,0.00365,0.00099,0.88906,0.00751,0.00451,0.00122,2.70169,4.04774,3.88961,2.80905,nan,0,0,0.000811009,0.000811009,0.000811009
18,2887.89,2.62058,4.09363,4.18964,2.76818,0.1852,0.51746,0.51857,0.89043,0.00712,0.00484,0.00129,0.89156,0.00712,0.00496,0.00141,2.65732,4.00221,3.81725,2.7765,nan,0,0,0.000809634,0.000809634,0.000809634
19,3047.8,2.66468,4.06276,4.15775,2.75639,0.18505,0.51596,0.51727,0.76403,0.00727,0.00473,0.0011,0.76357,0.00704,0.00387,0.0011,nan,nan,nan,nan,nan,0,0,0.00080826,0.00080826,0.00080826
20,3207.02,2.6189,3.97154,4.10534,2.73457,0.18317,0.51469,0.51613,0.89138,0.00901,0.00552,0.00151,0.89411,0.00767,0.00654,0.00175,nan,nan,nan,nan,nan,0,0,0.000806885,0.000806885,0.000806885
21,3367.02,2.61905,3.99162,4.05928,2.70397,0.18286,0.5126,0.51416,0.76403,0.01139,0.00438,0.00122,0.76747,0.01099,0.00523,0.00132,nan,nan,nan,nan,nan,0,0,0.000805511,0.000805511,0.000805511
22,3526.19,2.59361,3.97497,4.07501,2.67786,0.1823,0.51123,0.5127,0.64478,0.00941,0.00667,0.00182,0.65767,0.00973,0.00622,0.0017,2.58039,3.95131,3.74318,2.70499,nan,0,0,0.000804137,0.000804137,0.000804137
23,3686.17,2.5608,3.94579,4.00411,2.68757,0.18134,0.51011,0.5118,0.51462,0.0098,0.006,0.00168,0.51438,0.01012,0.0056,0.00151,2.56149,3.91193,3.74121,2.7044,nan,0,0,0.000802762,0.000802762,0.000802762
24,3845.76,2.57968,3.96303,3.95987,2.64329,0.17061,0.50873,0.51026,0.39283,0.01067,0.00677,0.00193,0.41138,0.01147,0.00711,0.00201,2.55996,3.88985,3.73976,2.69052,nan,0,0,0.000801388,0.000801388,0.000801388
25,4005.46,2.52604,3.93084,3.95504,2.64389,0.16197,0.50676,0.50788,0.64695,0.01559,0.00706,0.00219,0.65327,0.014,0.0074,0.00217,2.52278,3.85216,3.6141,2.63919,nan,0,0,0.000800013,0.000800013,0.000800013
26,4165.47,2.52722,3.89584,3.95735,2.61251,0.16438,0.50592,0.50717,0.52652,0.01764,0.00893,0.00246,0.52846,0.01685,0.00826,0.00232,2.50693,3.84619,3.62988,2.63076,nan,0,0,0.000798639,0.000798639,0.000798639
27,4325.65,2.54396,3.89742,3.88433,2.59047,0.1597,0.50466,0.50605,0.39592,0.01676,0.02318,0.0047,0.41929,0.01667,0.01322,0.00389,2.45406,3.8058,3.6702,2.57467,nan,0,0,0.000797264,0.000797264,0.000797264
28,4485.47,2.46165,3.83869,3.85927,2.57355,0.15871,0.50352,0.50515,0.5326,0.02092,0.01497,0.00425,0.54256,0.01967,0.01236,0.00365,2.46947,3.79824,3.58583,2.59508,nan,0,0,0.00079589,0.00079589,0.00079589
29,4644.86,2.44379,3.85981,3.86899,2.57196,0.15957,0.50208,0.50375,0.66017,0.02132,0.01077,0.00363,0.68081,0.02302,0.01271,0.00398,2.44175,3.7818,3.49587,2.5807,nan,0,0,0.000794515,0.000794515,0.000794515
30,4804.26,2.44729,3.87501,3.83266,2.56815,0.15839,0.50034,0.50201,0.648,0.02017,0.02413,0.00701,0.64994,0.02049,0.01798,0.00483,2.41299,3.76768,3.6325,2.53774,nan,0,0,0.000793141,0.000793141,0.000793141
31,4963.97,2.40729,3.81838,3.78622,2.53393,0.15809,0.49912,0.5012,0.51731,0.02603,0.01394,0.00434,0.51845,0.02303,0.01255,0.0038,nan,nan,nan,nan,nan,0,0,0.000791767,0.000791767,0.000791767
32,5123.38,2.39457,3.81752,3.75466,2.51469,0.15598,0.49707,0.49865,0.56197,0.02452,0.02773,0.00519,0.66997,0.02282,0.01247,0.00359,nan,nan,nan,nan,nan,0,0,0.000790392,0.000790392,0.000790392
33,5282.84,2.35453,3.77305,3.71611,2.50102,0.15614,0.4952,0.4972,0.53934,0.02986,0.01667,0.00551,0.5356,0.02903,0.01588,0.00544,2.37423,3.69422,3.4593,2.52604,nan,0,0,0.000789018,0.000789018,0.000789018
34,5442.54,2.38304,3.74576,3.67643,2.48056,0.15446,0.49157,0.4932,0.71538,0.02865,0.02038,0.00668,0.67813,0.02785,0.01966,0.00587,2.37496,3.68709,3.45361,2.48774,nan,0,0,0.000787643,0.000787643,0.000787643
35,5602.58,2.38409,3.77402,3.61079,2.45127,0.15692,0.48739,0.48947,0.54788,0.03656,0.01849,0.00577,0.54194,0.03273,0.01513,0.00472,2.34294,3.64772,3.42343,2.46358,nan,0,0,0.000786269,0.000786269,0.000786269
36,5761.95,2.32298,3.73954,3.69377,2.46273,0.15448,0.48041,0.48213,0.59555,0.04241,0.02341,0.00748,0.56312,0.03611,0.02049,0.00644,2.33357,3.71205,3.36795,2.45832,nan,0,0,0.000784894,0.000784894,0.000784894
37,5922.16,2.3408,3.68077,3.61684,2.42746,0.15273,0.46767,0.46875,0.67237,0.03828,0.02899,0.00946,0.67399,0.03431,0.02507,0.00781,2.33393,3.64033,3.3578,2.45823,nan,0,0,0.00078352,0.00078352,0.00078352
38,6082.12,2.34366,3.70702,3.58874,2.43916,0.1552,0.44496,0.44531,0.55173,0.03951,0.03436,0.0099,0.54891,0.0367,0.03029,0.00829,nan,nan,nan,nan,nan,0,0,0.000782145,0.000782145,0.000782145
39,6242.46,2.35833,3.69022,3.59355,2.42974,0.15523,0.40918,0.40485,0.53575,0.04548,0.02966,0.01114,0.53634,0.04363,0.02111,0.00652,2.27828,nan,nan,2.42884,nan,0,0,0.000780771,0.000780771,0.000780771
40,6401.87,2.29224,3.68767,3.58996,2.41969,0.15306,0.36103,0.35563,0.6708,0.05916,0.03644,0.01299,0.67229,0.04693,0.03211,0.0105,nan,nan,nan,nan,nan,0,0,0.000779396,0.000779396,0.000779396
41,6561.73,2.25551,3.69693,3.52487,2.39489,0.15341,0.29447,0.29168,0.55603,0.04854,0.04201,0.01461,0.55638,0.04243,0.03444,0.01138,2.2597,3.61711,3.18887,2.40246,nan,0,0,0.000778022,0.000778022,0.000778022
42,6721.66,2.26748,3.66523,3.51879,2.38945,0.15301,0.23307,0.24114,0.54197,0.05385,0.0745,0.03942,0.54105,0.0525,0.06569,0.02359,2.25105,3.54396,3.21451,2.38274,nan,0,0,0.000776648,0.000776648,0.000776648
43,6881.5,2.30261,3.66064,3.48871,2.42156,0.15386,0.20397,0.21332,0.56629,0.05445,0.05296,0.01941,0.57689,0.04743,0.04771,0.0168,2.29126,3.57799,3.26492,2.42904,nan,0,0,0.000775273,0.000775273,0.000775273
44,7041.01,2.29323,3.64351,3.51967,2.40767,0.15302,0.18755,0.19912,0.54853,0.05643,0.05119,0.02102,0.55694,0.04711,0.03213,0.0104,2.27337,3.53802,3.23319,2.415,nan,0,0,0.000773899,0.000773899,0.000773899
45,7200.15,2.23292,3.6365,3.52451,2.38117,0.15051,0.1757,0.18979,0.59517,0.05357,0.096,0.02999,0.58347,0.04973,0.08265,0.02036,2.22612,3.52822,3.14552,2.37354,nan,0,0,0.000772524,0.000772524,0.000772524
46,7359.43,2.24675,3.63065,3.43736,2.38819,0.15152,0.1713,0.18839,0.5923,0.05757,0.09701,0.02882,0.59963,0.04804,0.09957,0.02645,2.23687,3.4956,3.17623,2.37956,nan,0,0,0.00077115,0.00077115,0.00077115
47,7519,2.24733,3.59211,3.40761,2.33695,0.15362,0.16698,0.18469,0.56337,0.0666,0.06857,0.02229,0.56484,0.0629,0.063,0.01746,2.22338,3.49895,3.16739,2.36742,nan,0,0,0.000769775,0.000769775,0.000769775
48,7678.37,2.26003,3.63382,3.41002,2.36286,0.14899,0.15961,0.17474,0.50288,0.09153,0.07278,0.02882,0.49204,0.07978,0.06782,0.02427,2.20805,3.49113,3.06327,2.33634,nan,0,0,0.000768401,0.000768401,0.000768401
