epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,380.87,3.84956,7.12422,5.63707,4.20969,0.41286,0.86306,0.84844,0.00014,0.01435,1e-05,0,0.00015,0.01744,1e-05,0,3.77298,4.79307,7.07924,4.0838,0.3983,0,0,0.000276062,0.000276062,0.000276062
2,759.022,3.81608,5.19481,5.53833,4.15606,0.38891,0.84528,0.82922,0.00028,0.01813,2e-05,0,0.00021,0.01331,1e-05,0,3.72548,23.7053,68.7179,4.29167,0.36323,0,0,0.000552815,0.000552815,0.000552815
3,1134.07,3.76435,4.65516,5.36575,3.9949,0.32605,0.79906,0.77961,0.00024,0.02211,2e-05,0,0.0002,0.01772,2e-05,0,3.7064,35.7359,9.60452,4.28134,0.29107,0,0,0.000828651,0.000828651,0.000828651
4,1508.32,3.55319,4.58334,5.14212,3.74841,0.26656,0.7453,0.72672,0.00032,0.02395,3e-05,1e-05,0.00026,0.02471,2e-05,0,3.43676,4.80691,7.40624,3.59627,0.23997,0,0,0.000828877,0.000828877,0.000828877
5,1883.39,3.31614,4.47066,4.9672,3.52667,0.23834,0.68795,0.67372,0.00034,0.03217,5e-05,1e-05,0.00026,0.02385,3e-05,0,3.21844,4.5733,28.0484,3.40876,0.22395,0,0,0.000827502,0.000827502,0.000827502
6,2257.73,3.12661,4.44635,4.85182,3.35657,0.22288,0.64106,0.62988,0.0004,0.01993,6e-05,1e-05,0.00033,0.01499,0.00019,4e-05,3.18903,4.47226,6.57174,3.29717,0.20273,0,0,0.000826128,0.000826128,0.000826128
7,2632.01,3.02829,4.37788,4.75765,3.26079,0.20503,0.60529,0.59698,0.75135,0.00838,0.00075,0.00015,0.87767,0.00245,0.00025,5e-05,2.99563,4.36389,5.96908,3.16955,0.189,0,0,0.000824753,0.000824753,0.000824753
8,3006.25,2.95439,4.3485,4.69805,3.17167,0.19632,0.57985,0.57402,0.00068,0.05479,0.00032,6e-05,0.00047,0.03903,0.00018,3e-05,2.97047,4.41382,5.74305,3.0989,0.18278,0,0,0.000823379,0.000823379,0.000823379
9,3380.21,2.90872,4.33857,4.59994,3.10438,0.18903,0.56084,0.55721,0.00169,0.05466,0.00055,0.00012,0.62888,0.00372,0.00038,7e-05,2.89041,4.41065,5.9495,3.05606,0.18218,0,0,0.000822004,0.000822004,0.000822004
10,3754.33,2.88979,4.2904,4.55662,3.05223,0.18608,0.54826,0.54604,0.751,0.01621,0.00062,0.00013,0.7528,0.00395,0.00041,8e-05,2.8851,4.26787,5.90903,3.03053,0.17816,0,0,0.00082063,0.00082063,0.00082063
11,4128.65,2.85563,4.29125,4.57221,3.00448,0.185,0.53866,0.53772,0.37864,0.00624,0.0005,0.00011,0.37709,0.00459,0.00037,8e-05,2.83825,4.56776,7.60528,2.9828,0.18096,0,0,0.000819255,0.000819255,0.000819255
12,4503.24,2.76799,4.20861,4.43954,2.95464,0.1853,0.53194,0.53155,0.00548,0.06603,0.00045,0.0001,0.00536,0.05486,0.00035,7e-05,2.82847,7.13928,24.6823,3.04088,0.18582,0,0,0.000817881,0.000817881,0.000817881
13,4877.17,2.78246,4.21147,4.48599,2.94859,0.18436,0.52765,0.52811,0.13123,0.0053,0.00119,0.00027,0.12873,0.00482,0.0007,0.00016,2.72406,4.23076,5.54778,2.87426,0.17643,0,0,0.000816507,0.000816507,0.000816507
14,5251.96,2.77645,4.20031,4.40574,2.90892,0.18216,0.52366,0.52459,0.00228,0.08414,0.00116,0.00026,0.00203,0.0722,0.00095,0.00021,2.71638,4.27641,5.64553,2.85843,0.17512,0,0,0.000815132,0.000815132,0.000815132
15,5626.49,2.71488,4.18949,4.34052,2.87006,0.18195,0.52078,0.52181,0.00151,0.09484,0.00118,0.0003,0.2528,0.01867,0.00103,0.00021,2.67669,4.77465,13.016,2.84049,0.16964,0,0,0.000813758,0.000813758,0.000813758
16,6000.97,2.70074,4.14231,4.38203,2.84623,0.16894,0.5174,0.51845,0.0022,0.09735,0.00103,0.00027,0.00178,0.08057,0.0009,0.0002,2.66763,4.1293,8.69425,2.82742,0.15643,0,0,0.000812383,0.000812383,0.000812383
17,6375.47,2.67866,4.06318,4.24777,2.77746,0.16493,0.51553,0.51722,0.00179,0.1018,0.00092,0.00024,0.00146,0.08479,0.00076,0.00019,2.6484,4.15131,53.9826,2.81514,0.15539,0,0,0.000811009,0.000811009,0.000811009
18,6749.55,2.60644,4.06841,4.25271,2.79796,0.16117,0.51344,0.51498,0.25335,0.01162,0.00389,0.00086,0.25419,0.01021,0.00241,0.00044,2.59801,5.00692,6.5476,2.76792,0.14814,0,0,0.000809634,0.000809634,0.000809634
19,7124.23,2.61764,4.07334,4.23009,2.78274,0.15709,0.51203,0.51405,0.00242,0.12745,0.00165,0.00044,0.00184,0.1038,0.0013,0.00034,2.5893,10.3755,29.5888,2.81129,0.15031,0,0,0.00080826,0.00080826,0.00080826
20,7498.29,2.60669,4.0762,4.16585,2.76948,0.15561,0.51056,0.51203,0.00236,0.10532,0.00222,0.00061,0.00873,0.01176,0.0018,0.00048,2.55102,4.0802,8.36918,2.73187,0.14662,0,0,0.000806885,0.000806885,0.000806885
21,7872.74,2.58691,4.00736,4.09592,2.7466,0.15387,0.50867,0.51042,0.2627,0.02088,0.00603,0.00161,0.2608,0.01861,0.00607,0.00101,2.52498,4.41873,8.56124,2.70521,0.14613,0,0,0.000805511,0.000805511,0.000805511
22,8247.54,2.57147,4.04451,4.14303,2.70596,0.15267,0.50748,0.50939,0.50484,0.01931,0.00283,0.0008,0.50679,0.03698,0.03317,0.00363,2.55052,4.44336,27.5416,2.70217,0.14847,0,0,0.000804137,0.000804137,0.000804137
23,8622.12,2.51978,4.00745,4.08595,2.70293,0.15502,0.50635,0.50822,0.00226,0.15993,0.00232,0.00066,0.00505,0.16307,0.00276,0.00054,2.49209,4.40882,32.8229,2.67233,0.14647,0,0,0.000802762,0.000802762,0.000802762
24,8996.53,2.51224,3.94018,4.02982,2.64943,0.15142,0.50484,0.50657,0.50904,0.05192,0.00335,0.00101,0.51094,0.03629,0.00262,0.00072,2.46073,4.24206,51.0114,2.67775,0.14641,0,0,0.000801388,0.000801388,0.000801388
25,9370.9,2.50286,3.88632,4.00915,2.64042,0.15146,0.5027,0.50403,0.51417,0.01888,0.00308,0.00093,0.51459,0.01856,0.00282,0.00074,2.47032,4.27095,13.8107,2.66372,0.14482,0,0,0.000800013,0.000800013,0.000800013
26,9745.69,2.48601,3.954,3.96755,2.62313,0.15233,0.5018,0.5032,0.25767,0.01749,0.00369,0.00106,0.25713,0.01657,0.00313,0.00086,2.46105,4.10992,6.45098,2.65307,0.14512,0,0,0.000798639,0.000798639,0.000798639
27,10119.7,2.51794,3.934,3.99863,2.62868,0.15285,0.50033,0.50193,0.38375,0.01891,0.00412,0.0012,0.38378,0.01867,0.00352,0.00096,2.44272,4.16941,6.19171,2.62539,0.14592,0,0,0.000797264,0.000797264,0.000797264
28,10493.6,2.46324,3.86292,3.92862,2.60257,0.15145,0.49798,0.49915,0.51787,0.02432,0.0085,0.00266,0.51512,0.02191,0.00963,0.00249,2.40439,4.29274,4.90541,2.58348,0.14226,0,0,0.00079589,0.00079589,0.00079589
29,10867.4,2.44539,3.84481,3.89977,2.58843,0.15104,0.49559,0.49663,0.38636,0.02396,0.00589,0.00183,0.38613,0.02246,0.00504,0.0015,2.40316,3.9088,6.29757,2.58643,0.14096,0,0,0.000794515,0.000794515,0.000794515
30,11241.3,2.42135,3.86724,3.94311,2.58196,0.15041,0.4927,0.49375,0.26029,0.02327,0.00537,0.00161,0.26049,0.02289,0.0044,0.00129,2.41019,3.80369,15.0896,2.56589,0.13954,0,0,0.000793141,0.000793141,0.000793141
