epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,62.8093,3.81844,6.00457,5.36867,4.18219,0.34407,0.82826,0.83811,0.00014,0.01426,1e-05,0,0.00019,0.02132,2e-05,0,3.79749,5.15707,5.54275,4.14634,0.26002,0,0,0.000271356,0.000271356,0.000271356
2,109.094,3.80251,4.86371,5.12213,4.09587,0.27489,0.80245,0.81407,0.00016,0.01535,1e-05,0,0.00025,0.01982,1e-05,0,3.77301,4.86789,5.40564,4.09273,0.1977,0,0,0.000548117,0.000548117,0.000548117
3,156.083,3.53518,4.5709,4.94824,3.92801,0.23067,0.76163,0.77375,0.00043,0.0265,6e-05,1e-05,0.00026,0.01777,3e-05,1e-05,3.63064,4.6161,5.33399,3.89352,0.17286,0,0,0.000823961,0.000823961,0.000823961
4,202.85,3.38203,4.42678,4.78266,3.6454,0.17047,0.71773,0.72856,0.00152,0.06357,0.00048,5e-05,0.75223,0.00063,0.0001,2e-05,3.35071,4.60775,5.19939,3.63466,0.14602,0,0,0.000828877,0.000828877,0.000828877
5,249.685,3.22432,4.40762,4.6574,3.48968,0.1414,0.67597,0.68489,0.75213,0.00158,0.00022,5e-05,0.75243,0.00158,0.0002,4e-05,3.29314,4.56778,5.06188,3.48547,0.11835,0,0,0.000827502,0.000827502,0.000827502
6,295.867,3.20309,4.32476,4.6438,3.41825,0.12843,0.64127,0.64841,0.25343,0.00213,0.00032,5e-05,0.25475,0.0019,0.00038,6e-05,3.19444,4.43516,4.88989,3.3415,0.11981,0,0,0.000826128,0.000826128,0.000826128
7,342.59,3.16486,4.31383,4.52977,3.31491,0.12846,0.6137,0.61904,0.50565,0.00127,0.00033,6e-05,0.50826,0.00166,0.00094,0.00012,3.19137,4.45407,4.92984,3.31265,0.1163,0,0,0.000824753,0.000824753,0.000824753
8,389.057,3.09178,4.20869,4.50439,3.26836,0.12083,0.58963,0.59389,0.87752,0.00269,0.00051,0.0001,0.8805,0.00198,0.0004,7e-05,3.08013,4.33479,4.86797,3.20342,0.11207,0,0,0.000823379,0.000823379,0.000823379
9,435.49,3.07275,4.16929,4.44666,3.18981,0.12103,0.57163,0.5751,0.00153,0.06151,0.00053,0.0001,0.75181,0.00411,0.00065,0.00012,3.01027,4.24779,4.66043,3.14115,0.11148,0,0,0.000822004,0.000822004,0.000822004
10,482.039,3.03828,4.11403,4.42296,3.12224,0.1195,0.55823,0.56139,0.00208,0.08772,0.00157,0.00029,0.25699,0.00854,0.00183,0.0004,2.92883,4.20744,4.57033,3.08015,0.11094,0,0,0.00082063,0.00082063,0.00082063
11,528.709,2.95632,4.14603,4.34659,3.07928,0.12478,0.54807,0.55108,0.75919,0.00419,0.0019,0.00038,0.76124,0.00474,0.00204,0.00066,2.9126,4.23256,4.60305,3.0489,0.11111,0,0,0.000819255,0.000819255,0.000819255
12,575.464,2.89035,4.12307,4.30044,3.04852,0.12707,0.5406,0.54354,0.00267,0.10103,0.00243,0.00055,0.39542,0.02744,0.00197,0.00033,2.91966,4.20962,4.63117,3.01342,0.11109,0,0,0.000817881,0.000817881,0.000817881
13,622.005,2.87183,4.11539,4.30543,3.03039,0.12205,0.53485,0.53775,0.38999,0.0072,0.00348,0.00081,0.39527,0.00767,0.00439,0.00112,2.85731,4.15803,4.5254,2.97937,0.11216,0,0,0.000816507,0.000816507,0.000816507
14,668.69,2.83184,4.07763,4.28231,2.95734,0.12822,0.53052,0.5333,0.00512,0.12813,0.00353,0.00087,0.63631,0.00561,0.004,0.0009,2.82578,4.15807,4.47139,2.94798,0.11044,0,0,0.000815132,0.000815132,0.000815132
