epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,33.6796,3.80795,7.36172,0.20787,4.20804,0.07815,0.84772,0.85272,2e-05,0.00094,0,0,0.00023,0.01594,3e-05,0,4.05842,5.16839,0.2005,4.15804,0.07554,0,0,0.000271356,0.000271356,0.000271356
2,59.9779,3.72986,5.43296,0.21669,4.11318,0.07729,0.82992,0.83358,0.00033,0.02797,6e-05,1e-05,0.00023,0.01705,4e-05,1e-05,4.04736,4.89287,0.19589,4.12804,0.07557,0,0,0.000548117,0.000548117,0.000548117
3,86.4321,3.55979,4.72358,0.20908,3.95597,0.07638,0.79526,0.79952,0.00021,0.03333,0.00014,3e-05,0.00013,0.02,4e-05,1e-05,4.03226,5.06087,0.1551,3.9865,0.07563,0,0,0.000823961,0.000823961,0.000823961
4,113.539,3.43993,4.57612,0.2051,3.69919,0.07571,0.7516,0.75758,0.00073,0.02108,6e-05,1e-05,0.00022,0.00231,1e-05,0,3.64336,7.12375,0.27273,3.77258,0.07606,0,0,0.000828877,0.000828877,0.000828877
5,140.363,3.23105,4.53083,0.20395,3.48427,0.07523,0.7063,0.71507,0.00048,0.00759,5e-05,1e-05,0.0002,0.0236,1e-05,0,3.36354,6.17318,12.3465,3.35962,0.07627,0,0,0.000827502,0.000827502,0.000827502
6,167.327,3.15795,4.42456,0.20669,3.37284,0.07481,0.66523,0.6756,0.0009,0.01657,8e-05,2e-05,0.00066,0.0161,5e-05,1e-05,3.31956,5.00459,7.07343,3.30814,0.07568,0,0,0.000826128,0.000826128,0.000826128
7,197.003,3.07669,4.37478,0.21091,3.30231,0.07461,0.62975,0.64047,0.20333,0.00046,4e-05,1e-05,0.20333,0.00046,5e-05,1e-05,3.33023,4.78431,1.49039,3.22237,0.07501,0,0,0.000824753,0.000824753,0.000824753
8,224.867,3.13918,4.3098,0.18594,3.2175,0.07451,0.59948,0.60959,0.00061,0.00554,7e-05,1e-05,0.00055,0.00462,6e-05,1e-05,3.27807,4.65591,1.09474,3.21808,0.07486,0,0,0.000823379,0.000823379,0.000823379
9,253.762,3.12189,4.27099,0.1776,3.16466,0.07439,0.57717,0.58566,0.00082,0.00508,0.00015,3e-05,0.00075,0.00831,0.00012,4e-05,3.3177,4.75201,0.29139,3.19658,0.07466,0,0,0.000822004,0.000822004,0.000822004
10,283.137,3.07896,4.23817,0.18461,3.13823,0.07436,0.56068,0.56778,0.00121,0.00703,0.00011,2e-05,0.00141,0.00323,0.00011,2e-05,3.27682,4.62882,0.2202,3.12637,0.07451,0,0,0.00082063,0.00082063,0.00082063
11,315.911,3.10463,4.22897,0.16566,3.10109,0.07425,0.54813,0.55406,0.00175,0.00554,0.00049,7e-05,0.0016,0.00323,0.00048,9e-05,3.25852,4.64349,0.18022,3.05827,0.07448,0,0,0.000819255,0.000819255,0.000819255
12,348.257,3.11619,4.17574,0.15446,3.04137,0.07423,0.53984,0.545,0.20213,0.00323,0.00027,6e-05,0.20263,0.00231,0.00027,6e-05,3.29681,4.7088,0.17239,3.06624,0.07451,0,0,0.000817881,0.000817881,0.000817881
13,379.922,3.04756,4.17895,0.15712,3.00473,0.07423,0.53435,0.53892,0.00138,0.0051,0.00012,2e-05,0.20134,0.00277,0.00011,2e-05,nan,nan,nan,nan,nan,0,0,0.000816507,0.000816507,0.000816507
14,414.295,3.04614,4.15729,0.14805,2.97803,0.07423,0.5297,0.53384,0.00185,0.0061,0.00018,4e-05,0.00198,0.00843,0.00023,4e-05,3.23135,4.43568,0.13012,3.00366,0.07438,0,0,0.000815132,0.000815132,0.000815132
15,448.906,2.98046,4.1135,0.13762,2.91957,0.0741,0.52619,0.53024,0.00112,0.09785,0.00036,5e-05,0.40191,0.00323,0.00023,4e-05,3.25078,4.43116,0.10652,3.02263,0.07432,0,0,0.000813758,0.000813758,0.000813758
16,483.937,3.00554,4.08773,0.13687,2.93659,0.07423,0.5236,0.52761,0.20309,0.01131,0.00042,0.00011,0.20243,0.00751,0.00041,0.0001,3.21277,4.5034,0.10843,2.96393,0.0745,0,0,0.000812383,0.000812383,0.000812383
17,519.026,2.96545,4.06396,0.12899,2.89251,0.07416,0.52155,0.52521,0.00272,0.0051,0.00022,4e-05,0.004,0.00647,0.00091,0.00018,3.15628,4.45101,0.10521,2.94421,0.07436,0,0,0.000811009,0.000811009,0.000811009
18,554.501,2.93748,4.07397,0.12333,2.8815,0.07411,0.51975,0.52315,0.00085,0.02829,0.00018,5e-05,0.00076,0.02265,0.00017,6e-05,3.17421,4.38194,0.09973,2.94522,0.07422,0,0,0.000809634,0.000809634,0.000809634
19,589.863,2.97303,4.05244,0.12023,2.85608,0.07404,0.51835,0.52195,0.00129,0.14036,0.00136,0.00036,0.0014,0.01434,0.00032,9e-05,3.1099,4.36865,0.08782,2.93307,0.07415,0,0,0.00080826,0.00080826,0.00080826
20,625.211,2.89576,4.01829,0.10929,2.83728,0.07402,0.51645,0.51947,0.00126,0.0198,0.00023,4e-05,0.00096,0.05488,0.00013,3e-05,3.09487,4.37965,0.13283,2.90814,0.07422,0,0,0.000806885,0.000806885,0.000806885
