epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6702,3.84502,7.46419,5.19495,4.21793,0.84609,0.85708,0.84129,7e-05,0.09937,3e-05,1e-05,0,0,0,0,3.89136,5.2019,4.30695,4.15961,0,0,0,0.00012495,0.00012495,0.00012495
2,28.2017,3.97642,6.09213,5.15597,4.18678,0.84127,0.85195,0.83643,7e-05,0.10116,5e-05,2e-05,3e-05,0.06327,3e-05,1e-05,3.88845,5.18052,4.27112,4.1556,0,0,0,0.000257804,0.000257804,0.000257804
3,38.6788,4.03069,5.63121,5.07648,4.16348,0.83283,0.84463,0.82978,0.00013,0.01042,1e-05,0,0.00013,0.00338,0,0,3.88631,5.10602,4.18603,4.13933,0,0,0,0.000390218,0.000390218,0.000390218
4,48.9456,3.86774,5.11607,4.95564,4.13086,0.8211,0.83506,0.82193,0.00016,0.01178,4e-05,1e-05,0.00013,0.00899,2e-05,0,3.87859,4.93959,4.11571,4.11364,0,0,0,0.000522192,0.000522192,0.000522192
5,59.416,3.94789,4.88612,4.8946,4.11153,0.81058,0.8252,0.81216,0.0002,0.01598,6e-05,1e-05,0.00017,0.0142,2e-05,0,3.85869,4.60639,4.12302,4.06841,0,0,0,0.000653727,0.000653727,0.000653727
6,69.4468,3.8712,4.52169,4.84973,4.05493,0.7979,0.81333,0.79929,0.00021,0.02441,0.00027,7e-05,0.00015,0.01476,0.0001,1e-05,3.85598,4.40772,4.17806,3.9743,0,0,0,0.000784821,0.000784821,0.000784821
7,80.0159,3.82562,4.54719,4.76485,4.00873,0.78469,0.8011,0.78639,0.00024,0.03148,0.00201,0.00097,0.00015,0.01544,0.00192,0.0002,3.8666,4.48061,4.25422,3.88416,0,0,0,0.000824753,0.000824753,0.000824753
8,90.352,3.77734,4.52377,4.79551,3.90306,0.77151,0.78841,0.77297,0.00017,0.02388,0.00017,4e-05,0.00012,0.01485,6e-05,1e-05,3.85366,4.54091,4.88621,4.05863,0,0,0,0.000823379,0.000823379,0.000823379
9,100.687,3.67724,4.44832,4.70621,3.83721,0.75637,0.77497,0.75875,7e-05,0.00883,9e-05,2e-05,7e-05,0.00803,3e-05,1e-05,3.81919,4.48452,4.7093,3.89774,0,0,0,0.000822004,0.000822004,0.000822004
10,111.001,3.5533,4.49739,4.64775,3.73816,0.74066,0.76064,0.74326,0.00048,0.01157,3e-05,1e-05,0.00012,0.00879,3e-05,1e-05,3.68729,4.57698,4.77705,3.73044,0,0,0,0.00082063,0.00082063,0.00082063
