epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,32.5664,3.819,7.38575,5.54345,4.19921,0.83072,0.84722,0.84674,0.00013,0.00371,0,0,0.0001,0.00279,0,0,4.05925,5.18172,4.7864,4.15512,0,0,0,0.000271356,0.000271356,0.000271356
2,58.1038,3.72478,5.18979,5.17489,4.08546,0.80153,0.8238,0.82414,0.00033,0.03785,6e-05,2e-05,0.00016,0.01508,2e-05,1e-05,4.03304,5.01204,5.01461,4.10896,0,0,0,0.000543587,0.000543587,0.000543587
3,83.6173,3.499,4.75458,4.94461,3.86349,0.76308,0.78475,0.78933,0.00022,0.04026,8e-05,2e-05,0.00016,0.02554,5e-05,1e-05,4.00037,5.37615,5.09842,3.99474,0,0,0,0.000810321,0.000810321,0.000810321
4,109.82,3.29255,4.64226,4.74661,3.5788,0.72197,0.74186,0.74983,0.00027,0.03032,9e-05,2e-05,0.00019,0.02099,4e-05,1e-05,3.46137,5.31921,4.35858,3.57027,0,0,0,0.00080826,0.00080826,0.00080826
5,135.482,3.13672,4.5643,4.58772,3.40047,0.6815,0.69769,0.7067,0.00091,0.01293,0.0002,4e-05,0.00082,0.00554,0.0001,2e-05,3.21864,4.76015,4.69858,3.36562,0,0,0,0.000800013,0.000800013,0.000800013
6,161.428,3.06296,4.54409,4.51664,3.29609,0.64585,0.65837,0.66798,0.4028,0.00508,0.00045,9e-05,0.40229,0.00416,0.00021,3e-05,3.1356,4.70974,4.40252,3.2298,0,0,0,0.000791767,0.000791767,0.000791767
7,186.992,2.99473,4.4506,4.47438,3.22718,0.61767,0.62686,0.63609,0.40391,0.00462,0.00065,0.00012,0.40594,0.00185,0.00063,9e-05,3.0802,4.6537,4.16231,3.1742,0,0,0,0.00078352,0.00078352,0.00078352
8,212.737,2.99114,4.40472,4.35531,3.10971,0.59584,0.60133,0.60965,0.60355,0.01432,0.00087,0.00016,0.805,0.00416,0.00056,0.00011,3.05388,4.60731,4.03706,3.12753,0,0,0,0.000775273,0.000775273,0.000775273
9,238.557,2.9105,4.3782,4.31102,3.06696,0.57884,0.58226,0.58952,0.40249,0.00416,0.00148,0.0003,0.60315,0.00416,0.00127,0.00026,3.08287,4.60925,4.29965,3.12419,0,0,0,0.000767026,0.000767026,0.000767026
10,265.068,2.85502,4.34468,4.2695,3.02992,0.56623,0.56753,0.57364,0.60623,0.00878,0.00124,0.0003,0.60925,0.00647,0.00147,0.00029,3.03814,4.59989,4.272,3.05136,0,0,0,0.00075878,0.00075878,0.00075878
11,290.931,2.83483,4.29619,4.20567,2.99825,0.55673,0.55636,0.56152,0.61071,0.006,0.00167,0.00032,0.61179,0.00554,0.00118,0.00027,3.02396,4.48663,4.04686,3.05068,0,0,0,0.000750533,0.000750533,0.000750533
12,316.578,2.8096,4.25522,4.14159,2.93375,0.54875,0.54756,0.55178,0.80937,0.00785,0.00138,0.00036,0.81192,0.00785,0.00211,0.00041,2.9435,4.53361,4.19928,2.98106,0,0,0,0.000742286,0.000742286,0.000742286
13,342.428,2.73052,4.24868,4.13702,2.86671,0.54249,0.54038,0.54396,0.40697,0.00597,0.00109,0.00035,0.60856,0.00693,0.00119,0.0003,2.9515,4.47257,4.1364,2.93952,0,0,0,0.00073404,0.00073404,0.00073404
14,368.067,2.74935,4.19632,4.12504,2.83232,0.53783,0.53516,0.53822,0.61016,0.00924,0.00213,0.00056,0.61457,0.00831,0.00213,0.00052,2.91367,4.4449,4.07207,2.93912,0,0,0,0.000725793,0.000725793,0.000725793
15,393.693,2.69799,4.17364,4.04776,2.79713,0.53513,0.53107,0.53398,0.00544,0.02976,0.00255,0.00068,0.22251,0.01062,0.00385,0.0008,2.88947,4.41302,3.99753,2.89124,0,0,0,0.000717546,0.000717546,0.000717546
16,419.517,2.69997,4.17513,4.08653,2.80739,0.53258,0.52757,0.53034,0.6123,0.00878,0.00261,0.00079,0.61424,0.01016,0.00254,0.00066,2.95865,4.45122,4.07967,2.89746,0,0,0,0.000709299,0.000709299,0.000709299
17,444.993,2.6291,4.14757,4.0391,2.74325,0.52994,0.52485,0.52726,0.45763,0.01119,0.00492,0.00193,0.46091,0.01257,0.00507,0.00201,2.9032,4.40836,4.12602,2.90859,0,0,0,0.000701053,0.000701053,0.000701053
18,470.62,2.62311,4.17162,3.98406,2.72698,0.52728,0.5225,0.52459,0.62045,0.0097,0.00352,0.00117,0.61753,0.00831,0.0044,0.00103,2.8493,4.36683,3.98561,2.90014,0,0,0,0.000692806,0.000692806,0.000692806
19,496.199,2.64849,4.12536,3.93546,2.71198,0.52542,0.52036,0.52228,0.41928,0.00831,0.0034,0.00091,0.42176,0.00924,0.00434,0.00099,2.82336,4.30036,3.98372,2.83236,0,0,0,0.000684559,0.000684559,0.000684559
20,521.586,2.59101,4.11559,3.90971,2.68269,0.52241,0.51838,0.51992,0.43162,0.0097,0.00587,0.00138,0.63579,0.00924,0.00544,0.00157,2.78453,4.33305,3.94955,2.80519,0,0,0,0.000676313,0.000676313,0.000676313
21,547.132,2.55365,4.09855,3.8819,2.66195,0.5207,0.51647,0.51805,0.62914,0.01432,0.0071,0.00199,0.62582,0.01293,0.00643,0.00191,2.76255,4.31832,3.9314,2.79205,0,0,0,0.000668066,0.000668066,0.000668066
