epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7214,4.08273,7.37108,6.48463,4.19205,0.82364,0.84792,0.85436,8e-05,0.00784,0,0,6e-05,0.00205,2e-05,0,3.89703,4.98073,4.07166,3.96112,0,0,0,0.000271356,0.000271356,0.000271356
2,62.232,4.02671,5.63401,6.07418,4.13143,0.8046,0.82981,0.83772,7e-05,0.01415,1e-05,0,8e-05,0.00808,1e-05,0,3.82401,4.87508,3.99875,3.89238,0,0,0,0.000548117,0.000548117,0.000548117
3,88.3868,3.98468,5.21477,5.91043,4.07678,0.76977,0.80237,0.80541,8e-05,0.01585,2e-05,0,3e-05,0.00388,0,0,3.79135,4.46031,5.63591,3.99289,0,0,0,0.000823961,0.000823961,0.000823961
4,114.716,3.96476,4.85484,5.83861,3.95074,0.73339,0.76653,0.76382,6e-05,0.01648,4e-05,1e-05,3e-05,0.00865,0,0,3.73848,5.55212,5.19637,3.6376,0,0,0,0.000828877,0.000828877,0.000828877
5,141.413,3.80491,4.6815,5.6751,3.76116,0.69204,0.72387,0.71861,0.00013,0.04248,5e-05,2e-05,9e-05,0.00863,1e-05,0,3.55492,7.91206,10.4031,3.55457,0,0,0,0.000827502,0.000827502,0.000827502
6,167.287,3.52008,4.67279,5.53796,3.55175,0.6496,0.67955,0.67404,0.00021,0.02027,2e-05,0,0.00019,0.05222,2e-05,0,3.38265,4.79999,5.59831,3.36312,0,0,0,0.000826128,0.000826128,0.000826128
7,193.309,3.38689,4.61168,5.26214,3.40087,0.61183,0.6386,0.63468,0.00012,0.02051,3e-05,1e-05,8e-05,0.01457,2e-05,0,3.2992,4.54358,7.61438,3.22423,0,0,0,0.000824753,0.000824753,0.000824753
8,219.244,3.38686,4.58571,5.15063,3.29776,0.58643,0.60792,0.60495,0.87684,0.0014,9e-05,1e-05,0.87615,0.00076,4e-05,1e-05,3.17599,4.4844,11.2145,3.12442,0,0,0,0.000823379,0.000823379,0.000823379
9,245.531,3.24294,4.55327,4.90505,3.19988,0.56917,0.5856,0.58352,0.62576,0.00248,9e-05,2e-05,0.62577,0.00227,7e-05,1e-05,3.06595,4.4185,10.0724,3.04716,0,0,0,0.000822004,0.000822004,0.000822004
10,271.591,3.21059,4.53114,4.77724,3.13732,0.55544,0.56622,0.56476,0.87931,0.00151,0.00034,6e-05,0.87973,0.00162,0.00032,5e-05,3.13034,4.36812,9.6754,3.0261,0,0,0,0.00082063,0.00082063,0.00082063
