epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,38.3351,4.16064,7.21968,6.84736,4.19074,0.8228,0.84755,0.85373,9e-05,0.00954,1e-05,0,6e-05,0.00714,0,0,3.60944,4.57505,4.79399,3.67208,0,0,0,0.000274475,0.000274475,0.000274475
2,72.0959,4.0043,5.66309,6.13517,4.14426,0.80302,0.83008,0.83635,0.00014,0.02417,1e-05,0,0.00013,0.01272,1e-05,0,3.54962,4.21169,4.82455,3.605,0,0,0,0.000551231,0.000551231,0.000551231
3,103.521,3.94488,4.84586,6.25238,4.08016,0.76535,0.80019,0.80053,0.00016,0.0159,1e-05,0,8e-05,0.0095,0,0,3.50828,13.1756,6.82354,3.88653,0,0,0,0.00082707,0.00082707,0.00082707
4,135.456,4.02929,4.7209,5.79432,3.97549,0.71902,0.75595,0.75129,0.00015,0.08109,0.00011,2e-05,8e-05,0.03669,1e-05,0,3.5227,4.69909,4.18899,3.58806,0,0,0,0.000828877,0.000828877,0.000828877
5,167.407,3.97503,4.63657,5.66328,3.84245,0.67429,0.71004,0.70427,0.0002,0.0171,2e-05,0,0.00012,0.01071,1e-05,0,3.48468,4.36719,4.45841,3.41457,0,0,0,0.000827502,0.000827502,0.000827502
6,198.204,4.00928,4.68666,5.50129,3.72118,0.63914,0.67135,0.66557,0.00021,0.03235,2e-05,0,9e-05,0.01116,1e-05,0,3.41069,4.32456,4.15556,3.43273,0,0,0,0.000826128,0.000826128,0.000826128
7,229.602,3.75576,4.61744,5.20585,3.60881,0.6108,0.63416,0.63174,0.00017,0.02136,2e-05,0,7e-05,0.01025,1e-05,0,3.34925,4.40108,5.15064,3.15365,0,0,0,0.000824753,0.000824753,0.000824753
8,260.929,3.64433,4.56882,5.2119,3.47614,0.58865,0.60749,0.6058,0.00036,0.02262,5e-05,1e-05,8e-05,0.01295,2e-05,0,3.23819,4.19599,5.95624,3.06583,0,0,0,0.000823379,0.000823379,0.000823379
9,292.085,3.56944,4.61751,5.14226,3.39964,0.57169,0.58438,0.58457,0.00027,0.02417,8e-05,1e-05,0.87529,0.00194,6e-05,1e-05,3.18797,4.0871,4.24667,2.91291,0,0,0,0.000822004,0.000822004,0.000822004
10,323.592,3.50359,4.64442,4.97551,3.32182,0.55773,0.56423,0.56579,0.00033,0.02115,8e-05,2e-05,0.00012,0.01436,8e-05,2e-05,3.00878,4.09415,4.14158,2.90674,0,0,0,0.00082063,0.00082063,0.00082063
11,354.414,3.43039,4.58513,4.9913,3.24026,0.5466,0.54955,0.55077,0.0002,0.02007,6e-05,1e-05,0.00016,0.01521,4e-05,1e-05,3.12402,4.16713,4.58297,2.88628,0,0,0,0.000819255,0.000819255,0.000819255
12,385.843,3.32352,4.5303,4.85904,3.21216,0.54044,0.54021,0.54162,0.88268,0.0013,0.0003,5e-05,0.88522,0.00151,0.00034,7e-05,2.98892,4.02461,4.31892,2.81173,0,0,0,0.000817881,0.000817881,0.000817881
13,416.819,3.34423,4.50764,4.76024,3.1895,0.5345,0.53256,0.53417,0.76163,0.0013,0.00047,8e-05,0.75826,0.00151,0.00046,9e-05,2.93608,4.01586,4.66028,2.76424,0,0,0,0.000816507,0.000816507,0.000816507
14,447.644,3.31055,4.52232,4.75607,3.06254,0.5294,0.5261,0.52785,0.00111,0.03346,0.00058,0.0001,0.00016,0.02278,0.00092,0.00014,2.90674,4.06211,4.21353,2.7384,0,0,0,0.000815132,0.000815132,0.000815132
15,479.074,3.26419,4.54322,4.57874,3.02755,0.52663,0.52209,0.52394,0.87856,0.00065,0.0008,0.00012,0.8827,0.0014,0.00084,0.00018,2.8419,3.97084,5.31624,2.70124,0,0,0,0.000813758,0.000813758,0.000813758
16,510.332,3.1841,4.44116,4.63752,3.02192,0.52457,0.51876,0.52089,0.00059,0.03864,0.00045,0.0001,0.00036,0.0299,0.00057,0.00013,2.79531,4.00859,3.95493,2.64372,0,0,0,0.000812383,0.000812383,0.000812383
17,541.386,3.19348,4.46344,4.52443,2.95555,0.52165,0.51622,0.51815,0.88649,0.00151,0.00084,0.00015,0.90259,0.0014,0.00098,0.00022,2.79393,3.97954,5.33306,2.6705,0,0,0,0.000811009,0.000811009,0.000811009
18,572.939,3.14448,4.4113,4.52982,2.9466,0.51888,0.51299,0.51468,0.88656,0.00108,0.00105,0.00015,0.89118,0.00151,0.00105,0.00016,2.82091,3.93909,5.30431,2.62192,0,0,0,0.000809634,0.000809634,0.000809634
19,603.703,3.15708,4.38992,4.57276,2.91255,0.51871,0.51147,0.51352,0.00025,0.03962,0.00028,6e-05,0.00021,0.0326,0.00024,4e-05,2.78359,4.01062,4.01673,2.62277,0,0,0,0.00080826,0.00080826,0.00080826
20,634.765,3.07918,4.43851,4.4665,2.86808,0.5175,0.51,0.51205,0.00044,0.04511,0.00034,8e-05,0.00035,0.03724,0.0003,6e-05,2.68042,3.92098,4.65686,2.53141,0,0,0,0.000806885,0.000806885,0.000806885
21,665.849,3.04338,4.36408,4.37593,2.83825,0.51446,0.5079,0.5097,0.88658,0.00162,0.00083,0.00024,0.89054,0.00216,0.00112,0.00025,2.66696,3.8963,4.69706,2.49473,0,0,0,0.000805511,0.000805511,0.000805511
22,696.908,2.99342,4.4183,4.36427,2.79018,0.51551,0.50658,0.5088,0.00083,0.05345,0.00051,0.00011,0.00052,0.04064,0.00044,0.0001,2.72886,3.96848,4.84584,2.58051,0,0,0,0.000804137,0.000804137,0.000804137
23,728.2,2.96135,4.41812,4.38378,2.79529,0.51351,0.5049,0.50725,0.38281,0.00216,0.00077,0.00018,0.39277,0.0013,0.00085,0.0002,2.70153,3.97749,5.83193,2.56729,0,0,0,0.000802762,0.000802762,0.000802762
24,759.121,3.00586,4.36569,4.33034,2.76541,0.51028,0.50261,0.50498,0.87635,0.01803,0.00117,0.0003,0.88312,0.00389,0.00099,0.00021,2.63961,3.85812,5.33342,2.47299,0,0,0,0.000801388,0.000801388,0.000801388
25,790.222,2.90283,4.34669,4.31756,2.74398,0.51009,0.50152,0.50379,0.00068,0.06366,0.00099,0.00023,0.87721,0.00637,0.00077,0.0002,2.58245,3.86434,5.03322,2.44361,0,0,0,0.000800013,0.000800013,0.000800013
26,821.43,2.90101,4.39906,4.27171,2.71391,0.50893,0.50008,0.50263,0.25835,0.00259,0.00129,0.00034,0.26087,0.00302,0.00145,0.00031,2.57399,3.8942,5.46896,2.43231,0,0,0,0.000798639,0.000798639,0.000798639
27,853.298,2.90881,4.35377,4.29388,2.68637,0.50418,0.49701,0.49961,0.39497,0.00162,0.00207,0.00044,0.39763,0.00184,0.00189,0.00053,2.58466,3.85108,5.17061,2.39728,0,0,0,0.000797264,0.000797264,0.000797264
28,884.45,2.87789,4.35783,4.24734,2.66398,0.5001,0.4935,0.49619,0.26155,0.00259,0.00175,0.00035,0.26566,0.00324,0.0019,0.00043,2.55578,3.81381,5.69544,2.39488,0,0,0,0.00079589,0.00079589,0.00079589
29,915.269,2.83515,4.28268,4.30228,2.655,0.49614,0.48964,0.49309,0.26066,0.00356,0.00186,0.00043,0.2622,0.00378,0.00173,0.0005,2.55263,3.84145,5.08929,2.39217,0,0,0,0.000794515,0.000794515,0.000794515
30,945.987,2.82439,4.3587,4.19889,2.61959,0.48437,0.48307,0.48716,0.25676,0.00259,0.0017,0.00047,0.25864,0.00302,0.00155,0.00047,2.54498,3.80559,5.11115,2.38573,0,0,0,0.000793141,0.000793141,0.000793141
31,977.201,2.87096,4.25256,4.11927,2.6128,0.46051,0.47157,0.47668,0.25526,0.00464,0.00112,0.00028,0.25571,0.00399,0.00092,0.00021,2.50163,3.77367,5.96494,2.33495,0,0,0,0.000791767,0.000791767,0.000791767
32,1008.27,2.87554,4.32871,4.1628,2.58907,0.41827,0.44809,0.45586,0.25753,0.00216,0.00194,0.00043,0.25813,0.00227,0.0016,0.00034,2.52344,3.79626,5.16618,2.33519,0,0,0,0.000790392,0.000790392,0.000790392
33,1039.04,2.8054,4.27494,4.12801,2.55468,0.35229,0.39444,0.41193,0.38195,0.00529,0.00228,0.00066,0.38414,0.00464,0.00208,0.00067,2.54773,3.77282,5.5165,2.34264,0,0,0,0.000789018,0.000789018,0.000789018
34,1070.43,2.77824,4.25326,4.07599,2.55327,0.28262,0.29854,0.33991,0.63099,0.01241,0.00204,0.00053,0.63279,0.00378,0.0013,0.00029,nan,nan,nan,nan,0,0,0,0.000787643,0.000787643,0.000787643
35,1101.41,2.83042,4.30413,4.08498,2.54733,0.23547,0.20516,0.26118,0.25597,0.00335,0.00199,0.00057,0.25727,0.00389,0.00192,0.00051,2.45332,3.75119,5.41547,2.28587,0,0,0,0.000786269,0.000786269,0.000786269
36,1132.8,2.72379,4.29042,4.0611,2.52356,0.21578,0.16286,0.2051,0.50964,0.00356,0.00241,0.00062,0.51197,0.0041,0.00216,0.00052,2.46451,3.74654,6.03304,2.27318,0,0,0,0.000784894,0.000784894,0.000784894
37,1163.91,2.76547,4.2692,4.06857,2.50739,0.18854,0.13953,0.16352,0.88433,0.00604,0.00234,0.00068,0.88423,0.00497,0.00261,0.00074,2.43006,3.74979,7.5001,2.26187,0,0,0,0.00078352,0.00078352,0.00078352
38,1194.92,2.73107,4.22866,4.09919,2.49737,0.17021,0.13129,0.14717,0.26053,0.00594,0.00258,0.00068,0.26354,0.00551,0.00227,0.00059,2.3995,3.71855,4.88798,2.23092,0,0,0,0.000782145,0.000782145,0.000782145
39,1226.21,2.68944,4.27398,4.01128,2.47897,0.16182,0.12936,0.14248,0.25806,0.0082,0.00247,0.00068,0.25815,0.00756,0.00201,0.00054,nan,nan,nan,nan,0,0,0,0.000780771,0.000780771,0.000780771
40,1257.23,2.69571,4.22028,3.97986,2.46293,0.16471,0.12981,0.14555,0.8867,0.00766,0.00315,0.00099,0.88764,0.00669,0.0027,0.00075,2.38435,3.69332,6.38513,2.19153,0,0,0,0.000779396,0.000779396,0.000779396
41,1288.51,2.70614,4.16982,4.00063,2.46533,0.15701,0.1224,0.14023,0.00318,0.1068,0.00166,0.00046,0.25323,0.01306,0.00122,0.0003,nan,nan,nan,nan,0,0,0,0.000778022,0.000778022,0.000778022
42,1319.55,2.65992,4.18212,3.96122,2.43874,0.15203,0.11615,0.13577,0.76236,0.00939,0.00352,0.00097,0.76159,0.00791,0.00297,0.00074,2.37364,3.67274,5.83887,2.1942,0,0,0,0.000776648,0.000776648,0.000776648
43,1350.51,2.6757,4.17513,3.97583,2.42325,0.15032,0.11221,0.1344,0.38437,0.00907,0.00281,0.00079,0.38495,0.00864,0.00251,0.00063,2.36825,3.6895,5.3431,2.19921,0,0,0,0.000775273,0.000775273,0.000775273
44,1381.52,2.64381,4.24098,3.94818,2.43213,0.15163,0.11365,0.13531,0.38982,0.00497,0.00363,0.00094,0.3895,0.00486,0.00284,0.00065,2.40924,3.72063,5.05699,2.21063,0,0,0,0.000773899,0.000773899,0.000773899
45,1412.92,2.64629,4.19755,3.88363,2.38273,0.151,0.11605,0.13525,0.63872,0.01047,0.00462,0.0013,0.63996,0.01015,0.00411,0.00109,2.34999,3.68223,6.82506,2.15731,0,0,0,0.000772524,0.000772524,0.000772524
46,1444.31,2.61567,4.18739,3.95065,2.39742,0.15259,0.11146,0.13499,0.88894,0.01016,0.00544,0.00158,0.88909,0.01027,0.00531,0.00141,2.30521,3.64857,5.48003,2.12909,0,0,0,0.00077115,0.00077115,0.00077115
47,1475.34,2.60981,4.09158,3.8421,2.36556,0.15387,0.11613,0.13764,0.89122,0.01392,0.00585,0.00173,0.89006,0.01263,0.00492,0.00136,2.33889,3.63513,6.15457,2.13827,0,0,0,0.000769775,0.000769775,0.000769775
48,1506.88,2.57687,4.13191,3.78651,2.34245,0.15194,0.11629,0.13554,0.51431,0.01076,0.00524,0.00141,0.5147,0.01079,0.00482,0.00134,2.30282,3.62594,4.60728,2.12735,0,0,0,0.000768401,0.000768401,0.000768401
49,1537.75,2.58577,4.1005,3.82043,2.3395,0.15419,0.11565,0.13637,0.88819,0.01231,0.00468,0.00141,0.88845,0.0109,0.00442,0.00116,2.29005,3.62896,6.2372,2.11863,0,0,0,0.000767026,0.000767026,0.000767026
50,1568.92,2.50825,4.06932,3.80374,2.29679,0.15043,0.11229,0.13327,0.88637,0.01058,0.00474,0.00145,0.88787,0.01004,0.00466,0.00119,2.31019,3.64781,4.81916,2.14435,0,0,0,0.000765652,0.000765652,0.000765652
51,1599.8,2.54088,4.1039,3.76451,2.32688,0.15046,0.11404,0.13382,0.89124,0.01544,0.00822,0.00242,0.89092,0.01479,0.00662,0.00185,2.25562,3.57185,5.79008,2.08537,0,0,0,0.000764278,0.000764278,0.000764278
52,1631.05,2.55222,4.10407,3.74276,2.32307,0.15295,0.1176,0.13559,0.76903,0.01446,0.00905,0.00288,0.76676,0.01274,0.00707,0.00198,2.2688,3.58049,5.63586,2.09498,0,0,0,0.000762903,0.000762903,0.000762903
53,1662.21,2.48879,4.06067,3.74305,2.30021,0.15174,0.11353,0.1345,0.89276,0.01328,0.00816,0.00242,0.89227,0.01231,0.00689,0.00203,2.2399,3.58238,4.75989,2.07365,0,0,0,0.000761529,0.000761529,0.000761529
54,1692.87,2.51887,4.11073,3.73641,2.30674,0.15055,0.11294,0.13372,0.76342,0.01759,0.00695,0.00221,0.76332,0.01522,0.00549,0.00155,2.24703,3.59945,6.75987,2.08464,0,0,0,0.000760154,0.000760154,0.000760154
55,1723.74,2.55876,4.13929,3.94751,2.3268,0.15206,0.11423,0.13571,0.76412,0.01231,0.00704,0.00219,0.76335,0.0109,0.00565,0.00159,2.2256,3.60003,4.73961,2.08126,0,0,0,0.00075878,0.00075878,0.00075878
56,1754.55,2.49739,4.1056,3.73297,2.27648,0.15185,0.11538,0.13488,0.76627,0.01533,0.00976,0.00243,0.76476,0.01352,0.00545,0.00155,2.24167,3.55557,7.22113,2.07034,0,0,0,0.000757405,0.000757405,0.000757405
57,1785.37,2.50345,4.07635,3.7899,2.29745,0.1504,0.111,0.13334,0.77053,0.01328,0.00928,0.00303,0.77035,0.01263,0.00803,0.00246,2.23222,3.5447,5.19601,2.05888,0,0,0,0.000756031,0.000756031,0.000756031
58,1816.61,2.54572,4.08406,3.73663,2.28103,0.15409,0.11546,0.13649,0.77267,0.01834,0.01112,0.00352,0.77654,0.01822,0.00916,0.0027,2.22016,3.5389,5.51883,2.03552,0,0,0,0.000754656,0.000754656,0.000754656
59,1847.72,2.54067,4.06415,3.69986,2.27308,0.15238,0.11302,0.1349,0.76577,0.01857,0.01242,0.00343,0.76629,0.01683,0.00884,0.0025,2.19311,3.55438,4.87383,2.02414,0,0,0,0.000753282,0.000753282,0.000753282
60,1878.53,2.45356,4.02869,3.66973,2.256,0.14819,0.1133,0.13202,0.77241,0.02266,0.00877,0.00265,0.76285,0.019,0.00681,0.00204,2.24088,3.6053,6.22372,2.03204,0,0,0,0.000751907,0.000751907,0.000751907
61,1909.61,2.47854,4.00142,3.67648,2.25515,0.14518,0.11079,0.12954,0.7701,0.01619,0.01221,0.00416,0.89472,0.01425,0.00986,0.00289,2.20465,3.5419,5.76903,2.02552,0,0,0,0.000750533,0.000750533,0.000750533
62,1940.43,2.44359,4.02088,3.68144,2.24736,0.14901,0.11151,0.13272,0.64468,0.01673,0.01093,0.00326,0.77136,0.01428,0.00986,0.00304,2.21399,3.55207,4.70715,2.03382,0,0,0,0.000749159,0.000749159,0.000749159
63,1971.33,2.43611,4.01996,3.57686,2.2229,0.14466,0.11265,0.12961,0.769,0.01759,0.00891,0.00249,0.76737,0.01749,0.00723,0.00206,2.23041,3.56956,4.95987,2.04495,0,0,0,0.000747784,0.000747784,0.000747784
64,2002.5,2.44743,4.02065,3.59623,2.21281,0.1508,0.11385,0.13429,0.64996,0.02875,0.00724,0.00209,0.63904,0.0267,0.00564,0.00151,2.17907,3.54233,5.42615,1.99862,0,0,0,0.00074641,0.00074641,0.00074641
65,2033.01,2.39039,4.0472,3.54011,2.18595,0.15212,0.11531,0.13425,0.74561,0.02168,0.01474,0.00483,0.64648,0.01565,0.01077,0.00328,2.1757,3.53986,5.98928,2.00844,0,0,0,0.000745035,0.000745035,0.000745035
66,2064.96,2.47122,4.01644,3.52883,2.21154,0.14792,0.11273,0.13104,0.89434,0.02116,0.01153,0.00369,0.89469,0.01878,0.00876,0.00258,2.15289,3.55741,6.46216,1.9858,0,0,0,0.000743661,0.000743661,0.000743661
