epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2448,4.06947,7.98845,5.61326,4.20379,0.82024,0.84708,0.85286,0.00012,0.00851,2e-05,1e-05,0,0,0,0,4.39522,5.23756,4.33411,4.15358,0,0,0,0.000271356,0.000271356,0.000271356
2,51.486,4.00818,5.59921,5.46839,4.13776,0.80124,0.82873,0.83609,0.00012,0.01082,1e-05,0,7e-05,0.00323,0,0,4.36427,5.162,4.24745,4.10419,0,0,0,0.000543587,0.000543587,0.000543587
3,73.215,3.94929,5.11008,5.35658,4.07206,0.76733,0.80196,0.80386,0.00011,0.01293,4e-05,1e-05,0,0,0,0,4.34973,5.13896,4.13443,4.24798,0,0,0,0.000810321,0.000810321,0.000810321
4,95.0269,3.88512,4.79874,5.2148,3.8942,0.72776,0.76306,0.75902,0.00049,0.03534,0.00012,3e-05,0.00015,0.01175,2e-05,0,4.30461,5.46526,6.81978,4.42311,0,0,0,0.00080826,0.00080826,0.00080826
5,117.095,3.56774,4.72028,4.94428,3.67027,0.68511,0.72086,0.71536,0.00042,0.06263,0.00019,4e-05,0.00025,0.03191,7e-05,1e-05,3.56342,5.24985,4.41017,3.61901,0,0,0,0.000800013,0.000800013,0.000800013
6,138.754,3.32852,4.71886,4.82804,3.45904,0.64825,0.67964,0.67396,0.00044,0.04464,0.00014,3e-05,0.60329,0.00046,8e-05,1e-05,3.53561,5.01472,4.82425,3.36083,0,0,0,0.000791767,0.000791767,0.000791767
7,160.261,3.22183,4.64874,4.66455,3.33233,0.61727,0.64429,0.63886,0.00093,0.04761,0.00029,5e-05,0.00054,0.03189,0.00016,3e-05,3.40276,4.92123,3.91715,3.17265,0,0,0,0.00078352,0.00078352,0.00078352
8,182.264,3.16576,4.59724,4.55052,3.19138,0.59586,0.61848,0.61403,0.60341,0.00508,0.00058,0.00013,0.60619,0.00508,0.00041,8e-05,3.26419,4.78781,3.86606,3.05854,0,0,0,0.000775273,0.000775273,0.000775273
9,204.11,3.1005,4.5712,4.41945,3.12839,0.57797,0.59684,0.59307,0.20826,0.0037,0.00099,0.00032,0.20901,0.00416,0.00153,0.00039,3.31422,4.86527,3.97646,3.11497,0,0,0,0.000767026,0.000767026,0.000767026
10,225.918,3.01992,4.5288,4.28017,3.03878,0.56522,0.57966,0.57688,0.80656,0.00462,0.00079,0.00017,0.80772,0.00508,0.00106,0.0002,3.28099,4.65105,3.88112,2.99264,0,0,0,0.00075878,0.00075878,0.00075878
