epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,train/heat_loss,train/seed_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,val/heat_loss,val/seed_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7581,3.87524,6.65977,6.10612,4.1999,0.8342,0.84746,0.84819,3e-05,0.00779,0,0,0.00016,0.00767,1e-05,0,3.40143,4.50248,4.11417,3.67868,0,0,0,0.000274475,0.000274475,0.000274475
2,65.3655,3.74949,5.37872,5.58752,4.12595,0.80568,0.82603,0.82662,0.00016,0.01805,7e-05,1e-05,0.00015,0.01694,2e-05,0,3.36411,4.3367,4.44044,3.58872,0,0,0,0.000551231,0.000551231,0.000551231
3,95.0981,3.68089,4.72268,5.53819,3.99695,0.76723,0.78657,0.79144,0.00015,0.01446,3e-05,0,0.00015,0.01078,2e-05,0,3.28234,4.32273,5.40588,3.4226,0,0,0,0.00082707,0.00082707,0.00082707
4,124.682,3.53199,4.56395,5.23048,3.78723,0.72135,0.73859,0.74748,0.00026,0.01914,3e-05,1e-05,0.00014,0.00759,1e-05,0,3.12379,4.08634,4.24028,3.19853,0,0,0,0.000828877,0.000828877,0.000828877
5,154.622,3.37347,4.51053,5.05848,3.60716,0.67653,0.69021,0.70193,0.00015,0.02429,5e-05,1e-05,0.00012,0.01921,3e-05,1e-05,2.98143,4.05363,5.89968,3.09806,0,0,0,0.000827502,0.000827502,0.000827502
6,184.431,3.29129,4.47051,4.98547,3.45026,0.6377,0.64811,0.65996,0.62579,0.00237,0.00014,2e-05,0.62565,0.00194,0.00012,2e-05,2.93053,4.00202,5.16983,3.074,0,0,0,0.000826128,0.000826128,0.000826128
7,214.857,3.16042,4.41176,4.85435,3.38533,0.60676,0.61385,0.62439,0.50061,0.00119,0.0001,2e-05,0.50333,0.00065,0.00068,0.00014,2.84637,4.03476,6.13494,3.04095,0,0,0,0.000824753,0.000824753,0.000824753
8,244.628,3.13222,4.39531,4.8837,3.36406,0.58342,0.58784,0.59667,0.00058,0.09514,0.00018,4e-05,0.00031,0.02182,0.00015,2e-05,2.7997,3.92278,4.90201,2.94594,0,0,0,0.000823379,0.000823379,0.000823379
9,274.834,3.09332,4.41729,4.84032,3.24098,0.568,0.56954,0.5766,0.00041,0.04315,0.0008,0.00016,0.00031,0.02891,0.00071,9e-05,2.79299,3.89402,4.69415,2.83396,0,0,0,0.000822004,0.000822004,0.000822004
10,304.912,3.08082,4.42695,4.77973,3.18406,0.55545,0.55532,0.56107,0.00108,0.04241,0.00093,0.00014,0.00055,0.03537,0.00043,8e-05,2.75315,3.85069,5.10309,2.78594,0,0,0,0.00082063,0.00082063,0.00082063
11,334.731,3.06494,4.36317,4.74812,3.11698,0.54581,0.54436,0.54914,0.0002,0.03357,0.00045,6e-05,0.00017,0.02871,0.00012,2e-05,2.71301,3.89867,5.06428,2.74941,0,0,0,0.000819255,0.000819255,0.000819255
12,364.673,2.99969,4.32594,4.72448,3.11845,0.54005,0.53726,0.54146,0.00134,0.04517,0.00034,7e-05,0.00068,0.03219,0.00032,6e-05,2.64977,3.8634,5.33379,2.72207,0,0,0,0.000817881,0.000817881,0.000817881
13,394.262,2.96663,4.32834,4.70432,3.10912,0.53457,0.53148,0.53516,0.00074,0.04901,0.0005,0.0001,0.37906,0.00086,0.00082,0.00023,2.66184,3.84475,5.27554,2.72068,0,0,0,0.000816507,0.000816507,0.000816507
14,424.611,2.96648,4.27307,4.72622,3.03666,0.53079,0.5268,0.53,0.25525,0.00076,0.00058,0.00021,0.25951,0.00086,0.00051,0.00022,2.63207,3.89544,5.43624,2.65574,0,0,0,0.000815132,0.000815132,0.000815132
15,454.716,2.906,4.31773,4.59668,2.99321,0.52799,0.52359,0.52651,0.00107,0.04096,0.00088,0.00025,0.25465,0.00372,0.00088,0.00027,2.58242,3.8297,5.0209,2.63966,0,0,0,0.000813758,0.000813758,0.000813758
16,484.511,2.89452,4.2649,4.62252,3.01489,0.52634,0.52075,0.52367,0.2535,0.00173,0.00076,0.00022,0.25568,0.00097,0.00074,0.00023,2.59372,3.83528,4.72812,2.63708,0,0,0,0.000812383,0.000812383,0.000812383
